case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
DEGOUSDT-LONG-1774072500000,2026-03-21,DEGOUSDT,LONG,long_breakout_retest,DEGOUSDT-LONG-1774072500000,,1774072500000,1774073079700,0,0,0,1774087479700,2026-03-21 12:55:00,2026-03-21 13:04:39,,,,2026-03-21 17:04:39,0.4588,0.4521,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/DEGOUSDT-LONG-1774072500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
EDGEUSDT-LONG-1774073100000,2026-03-21,EDGEUSDT,LONG,long_breakout_retest,EDGEUSDT-LONG-1774073100000,,1774073100000,1774073563577,0,0,0,1774087963577,2026-03-21 13:05:00,2026-03-21 13:12:43,,,,2026-03-21 17:12:43,0.7353,0.7337,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/EDGEUSDT-LONG-1774073100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
UAIUSDT-SHORT-EXH-1774072800000,2026-03-21,UAIUSDT,SHORT,short_exhaustion_retest,UAIUSDT-SHORT-EXH-1774072800000,,1774072800000,1774073709337,0,0,0,1774088109337,2026-03-21 13:00:00,2026-03-21 13:15:09,,,,2026-03-21 17:15:09,0.3668,0.372,,,,,INVALIDATED,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/UAIUSDT-SHORT-EXH-1774072800000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
TRIAUSDT-LONG-1774074600000,2026-03-21,TRIAUSDT,LONG,long_breakout_retest,TRIAUSDT-LONG-1774074600000,,1774074600000,1774075000943,0,0,0,1774089400943,2026-03-21 13:30:00,2026-03-21 13:36:40,,,,2026-03-21 17:36:40,0.03544,0.03498,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/TRIAUSDT-LONG-1774074600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PLAYUSDT-SHORT-EXH-1774076400000,2026-03-21,PLAYUSDT,SHORT,short_exhaustion_retest,PLAYUSDT-SHORT-EXH-1774076400000,,1774076400000,1774077368764,0,0,0,1774091768764,2026-03-21 14:00:00,2026-03-21 14:16:08,,,,2026-03-21 18:16:08,0.03757,0.03773,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PLAYUSDT-SHORT-EXH-1774076400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
CRVUSDT-SHORT-EXH-1774078200000,2026-03-21,CRVUSDT,SHORT,short_exhaustion_retest,CRVUSDT-SHORT-EXH-1774078200000,,1774078200000,1774079258226,0,0,0,1774093658226,2026-03-21 14:30:00,2026-03-21 14:47:38,,,,2026-03-21 18:47:38,0.233,0.234,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/CRVUSDT-SHORT-EXH-1774078200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
TAOUSDT-SHORT-EXH-1774079100000,2026-03-21,TAOUSDT,SHORT,short_exhaustion_retest,TAOUSDT-SHORT-EXH-1774079100000,,1774079100000,1774080017963,0,0,0,1774094417963,2026-03-21 14:45:00,2026-03-21 15:00:17,,,,2026-03-21 19:00:17,268.9,270.2,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/TAOUSDT-SHORT-EXH-1774079100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ADAUSDT-SHORT-EXH-1774079100000,2026-03-21,ADAUSDT,SHORT,short_exhaustion_retest,ADAUSDT-SHORT-EXH-1774079100000,,1774079100000,1774080025949,0,0,0,1774094425949,2026-03-21 14:45:00,2026-03-21 15:00:25,,,,2026-03-21 19:00:25,0.2648,0.2653,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/ADAUSDT-SHORT-EXH-1774079100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
DOTUSDT-SHORT-EXH-1774079100000,2026-03-21,DOTUSDT,SHORT,short_exhaustion_retest,DOTUSDT-SHORT-EXH-1774079100000,,1774079100000,1774080031249,0,0,0,1774094431249,2026-03-21 14:45:00,2026-03-21 15:00:31,,,,2026-03-21 19:00:31,1.501,1.505,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/DOTUSDT-SHORT-EXH-1774079100000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
XRPUSDT-SHORT-EXH-1774080900000,2026-03-21,XRPUSDT,SHORT,short_exhaustion_retest,XRPUSDT-SHORT-EXH-1774080900000,,1774080900000,1774081909995,0,0,0,1774096309995,2026-03-21 15:15:00,2026-03-21 15:31:49,,,,2026-03-21 19:31:49,1.4404,1.4431,,,,,CONFIRMED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/XRPUSDT-SHORT-EXH-1774080900000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
UAIUSDT-LONG-1774083600000,2026-03-21,UAIUSDT,LONG,long_breakout_retest,UAIUSDT-LONG-1774083600000,,1774083600000,1774084148374,0,0,0,1774098548374,2026-03-21 16:00:00,2026-03-21 16:09:08,,,,2026-03-21 20:09:08,0.4547,0.4488,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/UAIUSDT-LONG-1774083600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PLAYUSDT-SHORT-EXH-1774083600000,2026-03-21,PLAYUSDT,SHORT,short_exhaustion_retest,PLAYUSDT-SHORT-EXH-1774083600000,,1774083600000,1774084655679,0,0,0,1774099055679,2026-03-21 16:00:00,2026-03-21 16:17:35,,,,2026-03-21 20:17:35,0.03675,0.03703,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/PLAYUSDT-SHORT-EXH-1774083600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
TRIAUSDT-LONG-1774087500000,2026-03-21,TRIAUSDT,LONG,long_breakout_retest,TRIAUSDT-LONG-1774087500000,,1774087500000,1774088008041,0,0,0,1774102408041,2026-03-21 17:05:00,2026-03-21 17:13:28,,,,2026-03-21 21:13:28,0.03761,0.03724,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/TRIAUSDT-LONG-1774087500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
DOGEUSDT-SHORT-EXH-1774087200000,2026-03-21,DOGEUSDT,SHORT,short_exhaustion_retest,DOGEUSDT-SHORT-EXH-1774087200000,,1774087200000,1774088144402,0,0,0,1774102544402,2026-03-21 17:00:00,2026-03-21 17:15:44,,,,2026-03-21 21:15:44,0.094,0.09415,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/DOGEUSDT-SHORT-EXH-1774087200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
AVAXUSDT-SHORT-EXH-1774087200000,2026-03-21,AVAXUSDT,SHORT,short_exhaustion_retest,AVAXUSDT-SHORT-EXH-1774087200000,,1774087200000,1774088153175,0,0,0,1774102553175,2026-03-21 17:00:00,2026-03-21 17:15:53,,,,2026-03-21 21:15:53,9.504,9.539,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/AVAXUSDT-SHORT-EXH-1774087200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FILUSDT-SHORT-EXH-1774087200000,2026-03-21,FILUSDT,SHORT,short_exhaustion_retest,FILUSDT-SHORT-EXH-1774087200000,,1774087200000,1774088157292,0,0,0,1774102557292,2026-03-21 17:00:00,2026-03-21 17:15:57,,,,2026-03-21 21:15:57,0.898,0.901,,,,,CONFIRMED,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-21/cases/FILUSDT-SHORT-EXH-1774087200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
