signal_id,setup_id,timestamp_ms,symbol,side,score,confidence,reason,breakout_level,entry_low,entry_high,entry_ref,stop,tp1,tp2,price,oi_jump_pct,funding_pct,vol_ratio,retest_bars_waited,config_version,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,risk_pct_real,sl_distance_pct,tp1_distance_pct,tp2_distance_pct,break_distance_pct,retest_depth_pct,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,stop_was_forced_min_risk,manual_tradable,manual_trade_note,regime_label,regime_fit_for_strategy,dispatch_action,dispatch_confidence_band,dispatch_reason,status
APTUSDT-SHORT-1774249200000-1,APTUSDT-SHORT-1774249200000-1,1774249200000,APTUSDT,SHORT,94.3119310836583,0.943119310836583,1h exhaustion 33/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,0.9187,0.9168626,0.9205374,0.9103,0.937609,0.882991,0.8556819999999999,0.9154,-0.3267924438404819,0.0059700000000000005,1.6649920146253157,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,67905.0,-1.794,-0.22896578886650604,0.07870847354200539,2.717325675576168,2.085306521057069,0.0,bearish,3.000000000000003,3.000000000000003,3.000000000000003,6.000000000000006,0.9143354740393995,0.0,0.0,33.0,26.311931083658294,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.36%,yes,yes,good_for_manual,broad_weakness_sell_pressure,HIGH,not_evaluated,not_evaluated,not_evaluated,LOSS_STOP
TRXUSDT-SHORT-1774278900000-1,TRXUSDT-SHORT-1774278900000-1,1774278900000,TRXUSDT,SHORT,88.12048802224716,0.8812048802224716,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,0.3061,0.3054878,0.3067122,0.30533,0.3144899,0.2961701,0.2870102,0.30497,-0.8603403325080038,-0.003431,1.9143261971800463,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70529.3,2.575,0.6603678030394811,-1.2121585552683327,6.3658649667585,3.041091153369751,0.0,bullish,2.9999999999999996,2.9999999999999996,2.9999999999999996,5.999999999999999,0.2515517804638984,0.0,0.0,25.0,28.120488022247162,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.37%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
BNBUSDT-SHORT-1774280700000-2,BNBUSDT-SHORT-1774280700000-2,1774280700000,BNBUSDT,SHORT,94.69139424108641,0.9469139424108641,1h exhaustion 33/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,639.44,638.1611200000001,640.71888,634.95,653.9985,615.9015,596.8530000000001,637.35,-0.5149674578469952,0.0,1.6590667772872136,2,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70173.4,2.226,0.09142488753741264,0.13121824732357565,6.39815086628267,0.6160199383552608,0.0,bullish,2.9999999999999982,2.9999999999999982,2.9999999999999982,5.9999999999999964,0.7021769047916941,0.0,0.0,33.0,26.69139424108642,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.33%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
DEXEUSDT-SHORT-1774314000000-1,DEXEUSDT-SHORT-1774314000000-1,1774314000000,DEXEUSDT,SHORT,83.92150470493158,0.8392150470493158,1h exhaustion 23/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,7.543,7.527914,7.558086,7.5,7.7250000000000005,7.2749999999999995,7.049999999999999,7.519,-0.6833360941754891,0.005,1.103382134498292,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70813.0,4.054,-0.1092203725628182,0.23085633404105566,6.119074181294403,0.9918277686347441,0.0,bullish,3.000000000000007,3.000000000000007,3.000000000000007,6.000000000000014,0.5700649608908942,0.039771974015645147,0.0,23.0,25.92150470493158,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.32%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,WIN_TP1
SOLUSDT-SHORT-1774315800000-1,SOLUSDT-SHORT-1774315800000-1,1774315800000,SOLUSDT,SHORT,85.94015909268501,0.8594015909268501,1h exhaustion 25/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,90.56,90.37888,90.74112000000001,90.37,93.0811,87.6589,84.9478,90.32,-0.9955329587134779,0.01,1.4259108898423443,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70451.5,3.726,-0.5847664391477343,-0.03986952308387394,6.150472310738602,1.203664932613216,0.0,bullish,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.20980565371024484,0.06625441696113325,0.0,25.0,25.94015909268501,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.27%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
ZROUSDT-SHORT-1774323900000-1,ZROUSDT-SHORT-1774323900000-1,1774323900000,ZROUSDT,SHORT,87.88751033912324,0.8788751033912324,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,2.1484,2.1441032,2.1526968,2.1377,2.2018310000000003,2.073569,2.009438,2.1404,-1.8190828953046907,0.003749,2.3428026082679874,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70573.4,3.512,0.08693543377659771,0.08707725340756292,6.139848724873687,0.34403897219063895,0.0,bullish,3.000000000000007,3.000000000000007,3.000000000000007,6.000000000000014,0.49804505678644256,0.14429342766709555,0.0,25.0,27.88751033912324,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.37%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,LOSS_STOP
BNBUSDT-SHORT-1774325700000-1,BNBUSDT-SHORT-1774325700000-1,1774325700000,BNBUSDT,SHORT,85.81900075244957,0.8581900075244957,1h exhaustion 25/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,632.01,630.74598,633.27402,629.55,648.4365,610.6634999999999,591.7769999999998,631.04,0.07743225696149347,0.0,1.9687477734439518,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70325.0,3.023,-0.2653445295204735,-0.2654863491514387,6.161535726981878,0.6663348738002008,0.0,bullish,3.0000000000000115,3.0000000000000115,3.0000000000000115,6.000000000000023,0.38923434755779757,0.0,0.0,25.0,25.819000752449575,35.0,1h_top_tests=7;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.15%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
XMRUSDT-SHORT-1774329300000-1,XMRUSDT-SHORT-1774329300000-1,1774329300000,XMRUSDT,SHORT,87.29786439719167,0.8729786439719167,1h exhaustion 25/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,347.33,346.63534,348.02466,345.79,356.1637,335.41630000000004,325.04260000000005,346.2,-0.30331356796187486,0.025417000000000002,2.151624948495099,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70291.8,2.473,-0.30888315622425494,-0.06468590373315856,6.164445923991142,0.9259641251139767,0.0,bullish,2.9999999999999956,2.9999999999999956,2.9999999999999956,5.999999999999991,0.44338237411106546,0.0,0.0,25.0,27.297864397191674,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.33%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
WAXPUSDT-SHORT-1774334700000-1,WAXPUSDT-SHORT-1774334700000-1,1774334700000,WAXPUSDT,SHORT,96.86701951320163,0.9686701951320162,1h exhaustion 35/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,0.007311,0.007296378,0.0073256219999999995,0.007295,0.007513850000000001,0.00707615,0.006857299999999999,0.007298,-0.8005670912972931,-0.0044870000000000005,3.3770115244885983,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70865.8,4.416,0.538489138743559,0.5258992622092916,5.900307341482073,1.2217209888872984,0.0,bullish,3.000000000000006,3.000000000000006,3.000000000000006,6.000000000000012,0.21884831076459474,0.16413623307344902,0.0,35.0,26.86701951320162,35.0,1h_top_tests=6;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.18%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,WIN_TP1
TRXUSDT-SHORT-1774342800000-1,TRXUSDT-SHORT-1774342800000-1,1774342800000,TRXUSDT,SHORT,88.36323867683504,0.8836323867683504,1h exhaustion 27/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,0.30909,0.30847181999999995,0.30970818,0.30853,0.3177859,0.29927410000000004,0.29001820000000006,0.30849,0.018333055123351694,0.007277,3.611945216562832,1,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,70983.2,4.103,-0.3817265266254252,0.0696423989691715,5.508063879903982,0.706646079635753,0.0,bullish,2.9999999999999942,2.9999999999999942,2.9999999999999942,5.9999999999999885,0.18117700346175852,0.0,0.0,27.0,26.363238676835035,35.0,1h_top_tests=6;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.19%,yes,yes,good_for_manual,trend_continuation_friendly,LOW,not_evaluated,not_evaluated,not_evaluated,EXPIRED
