period_start,period_end,strategy,side,signals_count,closed_count,win_count,tp1_count,tp2_count,stop_count,expired_count,winrate,stop_rate,expired_rate,avg_r,median_r,avg_confidence,avg_score,avg_oi_jump_pct,avg_vol_ratio,avg_retest_wait_bars,manual_yes_count,manual_yes_rate,manual_yes_avg_r,manual_no_count,manual_no_avg_r
2026-03-17T00:00:00+00:00,2026-03-24T00:00:00+00:00,long_breakout_retest,LONG,1,1,1,0,1,0,0,1.0,0.0,0.0,2.0,2.0,0.91,88.0,1.2,1.9,1.0,1,1.0,2.0,0,
2026-03-17T00:00:00+00:00,2026-03-24T00:00:00+00:00,short_exhaustion_retest,SHORT,53,58,15,15,0,8,35,0.2586,0.1379,0.6034,0.1244,0.1216,0.9189,91.8442,-0.296,2.5219,1.4906,53,1.0,0.1244,0,
