case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
KATUSDT-SHORT-EXH-1774198800000,2026-03-23,KATUSDT,SHORT,short_exhaustion_retest,KATUSDT-SHORT-EXH-1774198800000,,1774198800000,1774199820176,0,0,0,1774214220176,2026-03-23 00:00:00,2026-03-23 00:17:00,,,,2026-03-23 04:17:00,0.01146,0.01165,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/KATUSDT-SHORT-EXH-1774198800000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
CRVUSDT-SHORT-EXH-1774198800000,2026-03-23,CRVUSDT,SHORT,short_exhaustion_retest,CRVUSDT-SHORT-EXH-1774198800000,,1774198800000,1774199826227,0,0,0,1774214226227,2026-03-23 00:00:00,2026-03-23 00:17:06,,,,2026-03-23 04:17:06,0.216,0.217,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/CRVUSDT-SHORT-EXH-1774198800000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
SIRENUSDT-LONG-1774199700000,2026-03-23,SIRENUSDT,LONG,long_breakout_retest,SIRENUSDT-LONG-1774199700000,,1774199700000,1774200119167,0,0,0,1774214519167,2026-03-23 00:15:00,2026-03-23 00:21:59,,,,2026-03-23 04:21:59,3.06241,2.84744,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/SIRENUSDT-LONG-1774199700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BEATUSDT-LONG-1774200000000,2026-03-23,BEATUSDT,LONG,long_breakout_retest,BEATUSDT-LONG-1774200000000,,1774200000000,1774200455574,0,0,0,1774214855574,2026-03-23 00:20:00,2026-03-23 00:27:35,,,,2026-03-23 04:27:35,0.7765,0.76,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/BEATUSDT-LONG-1774200000000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
RIVERUSDT-LONG-1774200900000,2026-03-23,RIVERUSDT,LONG,long_breakout_retest,RIVERUSDT-LONG-1774200900000,,1774200900000,1774201402151,0,0,0,1774215802151,2026-03-23 00:35:00,2026-03-23 00:43:22,,,,2026-03-23 04:43:22,29.861,28.657,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/RIVERUSDT-LONG-1774200900000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
LYNUSDT-LONG-1774201200000,2026-03-23,LYNUSDT,LONG,long_breakout_retest,LYNUSDT-LONG-1774201200000,,1774201200000,1774201722373,0,0,0,1774216122373,2026-03-23 00:40:00,2026-03-23 00:48:42,,,,2026-03-23 04:48:42,0.09208,0.09082,,,,,INVALIDATED,,4,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/LYNUSDT-LONG-1774201200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
EDGEUSDT-LONG-1774201500000,2026-03-23,EDGEUSDT,LONG,long_breakout_retest,EDGEUSDT-LONG-1774201500000,,1774201500000,1774201900747,0,0,0,1774216300747,2026-03-23 00:45:00,2026-03-23 00:51:40,,,,2026-03-23 04:51:40,0.8348,0.81,,,,,INVALIDATED,,4,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/EDGEUSDT-LONG-1774201500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
LIGHTUSDT-LONG-1774202700000,2026-03-23,LIGHTUSDT,LONG,long_breakout_retest,LIGHTUSDT-LONG-1774202700000,,1774202700000,1774203033967,0,0,0,1774217433967,2026-03-23 01:05:00,2026-03-23 01:10:33,,,,2026-03-23 05:10:33,0.2952,0.2925,,,,,INVALIDATED,,4,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/LIGHTUSDT-LONG-1774202700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
JCTUSDT-LONG-1774202700000,2026-03-23,JCTUSDT,LONG,long_breakout_retest,JCTUSDT-LONG-1774202700000,,1774202700000,1774203193251,0,0,0,1774217593251,2026-03-23 01:05:00,2026-03-23 01:13:13,,,,2026-03-23 05:13:13,0.003546,0.003499,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/JCTUSDT-LONG-1774202700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
DEGOUSDT-SHORT-EXH-1774202400000,2026-03-23,DEGOUSDT,SHORT,short_exhaustion_retest,DEGOUSDT-SHORT-EXH-1774202400000,,1774202400000,1774203348059,0,0,0,1774217748059,2026-03-23 01:00:00,2026-03-23 01:15:48,,,,2026-03-23 05:15:48,0.3462,0.3485,,,,,CONFIRMED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-23/cases/DEGOUSDT-SHORT-EXH-1774202400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
