case_id,symbol,side,strategy,case_day,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_time_local,status_final,close_reason,is_confirmed,is_sent_signal,case_close_type,slot_bundle_complete,evidence_ready_for_review,lifecycle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,review_notes_short,pre_pending_stage_status,pre_pending_stage_content_type,pre_pending_image_path,pending_open_stage_status,pending_open_stage_content_type,pending_open_image_path,entry_or_confirm_stage_status,entry_or_confirm_stage_content_type,entry_or_confirm_image_path,case_close_stage_status,case_close_stage_content_type,case_close_image_path
BEATUSDT-LONG-1774529700000,BEATUSDT,LONG,long_breakout_retest,2026-03-26,2026-03-26 19:55:00,2026-03-26 20:00:07,,,,2026-03-27 00:00:07,EXPIRED_WAIT,retest wait expired,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/BEATUSDT_LONG_long_breakout_retest_closed_1774532100000.png
TAOUSDT-LONG-1774530300000,TAOUSDT,LONG,long_breakout_retest,2026-03-26,2026-03-26 20:05:00,2026-03-26 20:12:39,,,,2026-03-27 00:12:39,INVALIDATED,acceptance_floor_lost 340.780000<343.310000,N,N,true_close,Y,partial,Y,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/TAOUSDT_LONG_long_breakout_retest_closed_1774531800000.png
ROBOUSDT-LONG-1774531800000,ROBOUSDT,LONG,long_breakout_retest,2026-03-26,2026-03-26 20:30:00,2026-03-26 20:38:24,,,2026-03-26 20:40:53,2026-03-27 00:38:24,INVALIDATED,retest invalidated,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/ROBOUSDT_LONG_long_breakout_retest_pre_pending_1774531500000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/ROBOUSDT_LONG_long_breakout_retest_pending_1774531800000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/ROBOUSDT_LONG_long_breakout_retest_closed_1774532100000.png
DUSKUSDT-SHORT-EXH-1774531800000,DUSKUSDT,SHORT,short_exhaustion_retest,2026-03-26,2026-03-26 20:30:00,2026-03-26 20:45:43,,,,2026-03-27 00:45:43,CONFIRMED,signal confirmed,N,N,not_due_yet,Y,none,N,PENDING,,,,,missing_unexpected,none,,missing_unexpected,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/DUSKUSDT_SHORT_short_exhaustion_retest_confirmed_1774534627977.png,not_reached_yet,none,
TAOUSDT-LONG-1774533600000,TAOUSDT,LONG,long_breakout_retest,2026-03-26,2026-03-26 21:00:00,2026-03-26 21:06:05,,,2026-03-26 21:17:09,2026-03-27 01:06:05,INVALIDATED,retest invalidated,N,N,true_close,Y,full,Y,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/TAOUSDT_LONG_long_breakout_retest_pre_pending_1774533300000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/TAOUSDT_LONG_long_breakout_retest_pending_1774533600000.png,not_applicable,none,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/TAOUSDT_LONG_long_breakout_retest_closed_1774534200000.png
ARIAUSDT-SHORT-EXH-1774533600000,ARIAUSDT,SHORT,short_exhaustion_retest,2026-03-26,2026-03-26 21:00:00,2026-03-26 21:20:35,,,,2026-03-27 01:20:35,PENDING,,N,N,not_due_yet,Y,full,N,PENDING,,,,,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/ARIAUSDT_SHORT_short_exhaustion_retest_pre_pending_1774532700000.png,captured,chart_snapshot,/root/binance_bot_signals/review_snapshots/20260326/ARIAUSDT_SHORT_short_exhaustion_retest_pending_1774533600000.png,not_reached_yet,none,,not_reached_yet,none,
