review_ts_ms,review_date,symbol,side_hint,strategy_hint,market_regime,opportunity_type,bot_status,miss_stage,miss_type,reason_code,reason_text,setup_id,signal_id,manual_tradable,improvement_candidate,note
1774655996582,2026-03-27,SIRENUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,SIRENUSDT-LONG-1774651500000,,yes,yes,24h_change=-50.81% quote_volume=708351655
1774655996582,2026-03-27,ONUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,ONUSDT-LONG-1774632300000,,yes,yes,24h_change=45.84% quote_volume=387900050
1774655996583,2026-03-27,BSBUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,BSBUSDT-LONG-1774641600000,,yes,yes,24h_change=43.07% quote_volume=88486579
1774655996583,2026-03-27,CUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,CUSDT-SHORT-EXH-1774651500000,,yes,yes,24h_change=38.85% quote_volume=333064659
1774655996583,2026-03-27,BLUAIUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,BLUAIUSDT-LONG-1774256400000,,yes,yes,24h_change=-31.51% quote_volume=86801668
1774655996583,2026-03-27,BASUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,BASUSDT-LONG-1774627200000,,yes,yes,24h_change=-22.48% quote_volume=29411249
1774655996583,2026-03-27,RIVERUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,RIVERUSDT-LONG-1774599900000,,yes,yes,24h_change=-20.35% quote_volume=453466372
1774655996583,2026-03-27,ARIAUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,ARIAUSDT-LONG-1774621200000,,yes,yes,24h_change=18.54% quote_volume=42245173
1774655996584,2026-03-27,KNCUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,acceptance_floor_lost 0.165300<0.165905,KNCUSDT-LONG-1774651500000,,yes,yes,24h_change=17.32% quote_volume=123591248
1774655996584,2026-03-27,BRUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,BRUSDT-LONG-1774621500000,,yes,yes,24h_change=-16.17% quote_volume=108307654
1774655996584,2026-03-27,WLDUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,SENT,SEND,CAUGHT,sent,1h exhaustion 25/35 + 15m breakdown 28/30 -> retest fail retest fail + 15m retest 35/35,WLDUSDT-SHORT-1774494900000-2,WLDUSDT-SHORT-1774494900000-2,yes,no,24h_change=-14.76% quote_volume=126993287
1774655996584,2026-03-27,TRADOORUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,TRADOORUSDT-LONG-1774457400000,,yes,yes,24h_change=13.07% quote_volume=29485858
1774655996584,2026-03-27,BEATUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,BEATUSDT-LONG-1774540800000,,yes,yes,24h_change=-11.30% quote_volume=43663051
1774655996585,2026-03-27,BARDUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,SENT,SEND,CAUGHT,sent,1h exhaustion 33/35 + 15m breakdown 26/30 -> retest fail retest fail + 15m retest 35/35,BARDUSDT-SHORT-1774483200000-1,BARDUSDT-SHORT-1774483200000-1,yes,no,24h_change=-10.65% quote_volume=43419040
1774655996585,2026-03-27,HUMAUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,HUMAUSDT-SHORT-EXH-1774338300000,,yes,yes,24h_change=-10.22% quote_volume=25532460
1774655996585,2026-03-27,ANKRUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,ANKRUSDT-SHORT-EXH-1774224900000,,yes,yes,24h_change=9.91% quote_volume=34988246
1774655996585,2026-03-27,KATUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,KATUSDT-SHORT-EXH-1774600200000,,yes,yes,24h_change=-9.48% quote_volume=61992770
1774655996585,2026-03-27,LYNUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,LYNUSDT-LONG-1774648200000,,yes,yes,24h_change=9.42% quote_volume=34926879
1774655996585,2026-03-27,STOUSDT,LONG_OPPORTUNITY,long_breakout_retest,VOLATILE_CHOP,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,stale_breakout runup 3.78%,STOUSDT-LONG-1774239600000,,yes,yes,24h_change=9.17% quote_volume=45848623
1774655996586,2026-03-27,WIFUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,VOLATILE_CHOP,TOP_LOSER,SENT,SEND,CAUGHT,sent,1h exhaustion 23/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,WIFUSDT-SHORT-1774608300000-2,WIFUSDT-SHORT-1774608300000-2,yes,no,24h_change=-8.78% quote_volume=67138000
