review_ts_ms,review_date,symbol,side_hint,strategy_hint,market_regime,opportunity_type,bot_status,miss_stage,miss_type,reason_code,reason_text,setup_id,signal_id,manual_tradable,improvement_candidate,note
1774483118973,2026-03-25,SIRENUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,SIRENUSDT-LONG-1774455300000,,yes,yes,24h_change=105.06% quote_volume=1488328061
1774483118974,2026-03-25,MUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,MUSDT-LONG-1774450200000,,yes,yes,24h_change=43.07% quote_volume=182475647
1774483118974,2026-03-25,PIPPINUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,UPTREND,TOP_LOSER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,PIPPINUSDT-SHORT-EXH-1774460700000,,yes,yes,24h_change=-36.64% quote_volume=286417345
1774483118974,2026-03-25,CYSUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,UPTREND,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,CYSUSDT-SHORT-EXH-1774463400000,,yes,yes,24h_change=-24.61% quote_volume=24200967
1774483118974,2026-03-25,PROVEUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,PROVEUSDT-LONG-1774476600000,,yes,yes,24h_change=22.39% quote_volume=102052402
1774483118974,2026-03-25,SIGNUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,UPTREND,TOP_LOSER,PENDING,RETEST_CONFIRM,WATCHING,pending,1h exhaustion 33/35 + 15m breakdown 29/30 -> retest fail pending,SIGNUSDT-SHORT-EXH-1774481400000,,yes,no,24h_change=-20.00% quote_volume=52211833
1774483118974,2026-03-25,BSBUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,BSBUSDT-LONG-1774476000000,,yes,yes,24h_change=15.23% quote_volume=84930528
1774483118974,2026-03-25,LIGHTUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,UPTREND,TOP_LOSER,INVALIDATED,RETEST_CONFIRM,BAD_MISS,invalidated,retest invalidated,LIGHTUSDT-LONG-1774418100000,,yes,yes,24h_change=-14.22% quote_volume=44403476
1774483118974,2026-03-25,MONUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,EXPIRED_WAIT,RETEST_CONFIRM,BAD_MISS,expired_wait,retest wait expired,MONUSDT-LONG-1774477500000,,yes,yes,24h_change=13.07% quote_volume=60401471
1774483118974,2026-03-25,ATHUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,SENT,SEND,CAUGHT,sent,1h exhaustion 35/35 + 15m breakdown 27/30 -> retest fail retest fail + 15m retest 35/35,ATHUSDT-SHORT-1774476000000-2,ATHUSDT-SHORT-1774476000000-2,yes,no,24h_change=11.53% quote_volume=27073706
1774483118974,2026-03-25,TRIAUSDT,SHORT_OPPORTUNITY,short_exhaustion_retest,UPTREND,TOP_LOSER,SENT,SEND,CAUGHT,sent,1h exhaustion 31/35 + 15m breakdown 25/30 -> retest fail retest fail + 15m retest 35/35,TRIAUSDT-SHORT-1774394100000-2,TRIAUSDT-SHORT-1774394100000-2,yes,no,24h_change=-10.36% quote_volume=30989309
1774483118974,2026-03-25,ENAUSDT,LONG_OPPORTUNITY,long_breakout_retest,UPTREND,TOP_GAINER,SENT,SEND,CAUGHT,sent,1h exhaustion 35/35 + 15m breakdown 24/30 -> retest fail retest fail + 15m retest 35/35,ENAUSDT-SHORT-1774165500000-1,ENAUSDT-SHORT-1774165500000-1,yes,no,24h_change=9.66% quote_volume=140549076
