case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
BEATUSDT-SHORT-EXH-1773911700000,2026-03-19,BEATUSDT,SHORT,short_exhaustion_retest,BEATUSDT-SHORT-EXH-1773911700000,,1773911700000,1773912977716,0,0,0,1773927377716,2026-03-19 16:15:00,2026-03-19 16:36:17,,,,2026-03-19 20:36:17,0.5751,0.5762,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/BEATUSDT-SHORT-EXH-1773911700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PIPPINUSDT-LONG-1773914400000,2026-03-19,PIPPINUSDT,LONG,legacy_5m_retest,PIPPINUSDT-LONG-1773914400000,,1773914400000,1773914844004,0,0,0,1773929244004,2026-03-19 17:00:00,2026-03-19 17:07:24,,,,2026-03-19 21:07:24,0.11743,0.11465,,,,,EXPIRED_WAIT,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/PIPPINUSDT-LONG-1773914400000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
CFGUSDT-LONG-1773914700000,2026-03-19,CFGUSDT,LONG,legacy_5m_retest,CFGUSDT-LONG-1773914700000,,1773914700000,1773915180026,0,0,0,1773929580026,2026-03-19 17:05:00,2026-03-19 17:13:00,,,,2026-03-19 21:13:00,0.1509,0.1507,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/CFGUSDT-LONG-1773914700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BANUSDT-LONG-1773916500000,2026-03-19,BANUSDT,LONG,legacy_5m_retest,BANUSDT-LONG-1773916500000,,1773916500000,1773916889321,0,0,0,1773931289321,2026-03-19 17:35:00,2026-03-19 17:41:29,,,,2026-03-19 21:41:29,0.05471,0.05348,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/BANUSDT-LONG-1773916500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ENAUSDT-SHORT-EXH-1773916200000,2026-03-19,ENAUSDT,SHORT,short_exhaustion_retest,ENAUSDT-SHORT-EXH-1773916200000,,1773916200000,1773917205116,0,0,0,1773931605116,2026-03-19 17:30:00,2026-03-19 17:46:45,,,,2026-03-19 21:46:45,0.1032,0.1037,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/ENAUSDT-SHORT-EXH-1773916200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
LYNUSDT-LONG-1773919200000,2026-03-19,LYNUSDT,LONG,legacy_5m_retest,LYNUSDT-LONG-1773919200000,,1773919200000,1773919706510,0,0,0,1773934106510,2026-03-19 18:20:00,2026-03-19 18:28:26,,,,2026-03-19 22:28:26,0.08819,0.08784,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/LYNUSDT-LONG-1773919200000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PAXGUSDT-SHORT-EXH-1773921600000,2026-03-19,PAXGUSDT,SHORT,short_exhaustion_retest,PAXGUSDT-SHORT-EXH-1773921600000,,1773921600000,1773922531778,0,0,0,1773936931778,2026-03-19 19:00:00,2026-03-19 19:15:31,,,,2026-03-19 23:15:31,4615.3,4645.01,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/PAXGUSDT-SHORT-EXH-1773921600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
AXSUSDT-SHORT-EXH-1773921600000,2026-03-19,AXSUSDT,SHORT,short_exhaustion_retest,AXSUSDT-SHORT-EXH-1773921600000,,1773921600000,1773922561212,0,0,0,1773936961212,2026-03-19 19:00:00,2026-03-19 19:16:01,,,,2026-03-19 23:16:01,1.18,1.185,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/AXSUSDT-SHORT-EXH-1773921600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
XRPUSDT-SHORT-EXH-1773922500000,2026-03-19,XRPUSDT,SHORT,short_exhaustion_retest,XRPUSDT-SHORT-EXH-1773922500000,,1773922500000,1773923480390,0,0,0,1773937880390,2026-03-19 19:15:00,2026-03-19 19:31:20,,,,2026-03-19 23:31:20,1.4488,1.4546,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/XRPUSDT-SHORT-EXH-1773922500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ASTERUSDT-SHORT-EXH-1773922500000,2026-03-19,ASTERUSDT,SHORT,short_exhaustion_retest,ASTERUSDT-SHORT-EXH-1773922500000,,1773922500000,1773923489443,0,0,0,1773937889443,2026-03-19 19:15:00,2026-03-19 19:31:29,,,,2026-03-19 23:31:29,0.6755,0.6822,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/ASTERUSDT-SHORT-EXH-1773922500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PUMPUSDT-SHORT-EXH-1773922500000,2026-03-19,PUMPUSDT,SHORT,short_exhaustion_retest,PUMPUSDT-SHORT-EXH-1773922500000,,1773922500000,1773923498145,0,0,0,1773937898145,2026-03-19 19:15:00,2026-03-19 19:31:38,,,,2026-03-19 23:31:38,0.00187,0.001874,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/PUMPUSDT-SHORT-EXH-1773922500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PENGUUSDT-SHORT-EXH-1773922500000,2026-03-19,PENGUUSDT,SHORT,short_exhaustion_retest,PENGUUSDT-SHORT-EXH-1773922500000,,1773922500000,1773923504973,0,0,0,1773937904973,2026-03-19 19:15:00,2026-03-19 19:31:44,,,,2026-03-19 23:31:44,0.007091,0.007128,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/PENGUUSDT-SHORT-EXH-1773922500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ICPUSDT-SHORT-EXH-1773922500000,2026-03-19,ICPUSDT,SHORT,short_exhaustion_retest,ICPUSDT-SHORT-EXH-1773922500000,,1773922500000,1773923517633,0,0,0,1773937917633,2026-03-19 19:15:00,2026-03-19 19:31:57,,,,2026-03-19 23:31:57,2.509,2.517,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/ICPUSDT-SHORT-EXH-1773922500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
HYPEUSDT-SHORT-EXH-1773924300000,2026-03-19,HYPEUSDT,SHORT,short_exhaustion_retest,HYPEUSDT-SHORT-EXH-1773924300000,,1773924300000,1773925239089,0,0,0,1773939639089,2026-03-19 19:45:00,2026-03-19 20:00:39,,,,2026-03-20 00:00:39,38.859,39.001,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/HYPEUSDT-SHORT-EXH-1773924300000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ZECUSDT-SHORT-EXH-1773924300000,2026-03-19,ZECUSDT,SHORT,short_exhaustion_retest,ZECUSDT-SHORT-EXH-1773924300000,,1773924300000,1773925240778,0,0,0,1773939640778,2026-03-19 19:45:00,2026-03-19 20:00:40,,,,2026-03-20 00:00:40,238.93,241.22,,,,,EXPIRED_WAIT,,3,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-19/cases/ZECUSDT-SHORT-EXH-1773924300000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
