pending_id,setup_id,created_ts_ms,signal_open_time,symbol,side,score,confidence,reason,breakout_level,signal_price,signal_high,signal_low,oi_jump_pct,funding_pct,vol_ratio,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,status,close_reason,bars_waited,closed_ts_ms,send_decision,skip_reason,is_confirmed,confirmed_ts_ms,is_sent_signal,sent_ts_ms,review_eligible,review_exclusion_reason,semantic_consistency,semantic_issue,close_anchor_time_ms,close_capture_basis,future_1h_max_favor_pct,future_1h_max_adverse_pct,future_2h_max_favor_pct,future_2h_max_adverse_pct,future_4h_max_favor_pct,future_4h_max_adverse_pct,reclaim_breakout_2h_YN,reclaim_breakout_4h_YN,outcome_1h_available,outcome_2h_available,outcome_1h_summary,outcome_2h_summary,post_close_outcome_notes,outcome_conclusion_code,entry_feasible_YN,entry_feasible_window_minutes,entry_slippage_pct,entry_execution_note,time_to_max_favor_minutes,time_to_max_adverse_minutes,close_trigger_detail,confirm_fail_detail,invalidation_detail,regret_valid_YN,regret_filter_reason,regime_label,regime_fit_for_strategy,setup_quality_band,delivery_band,veto_reason_code,dispatch_action,dispatch_confidence_band,dispatch_reason
DRIFTUSDT-SHORT-EXH-1775088000000,DRIFTUSDT-SHORT-EXH-1775088000000,1775088974286,1775088000000,DRIFTUSDT,SHORT,57.71297860249864,0.5771297860249863,1h exhaustion 31/35 + 15m breakdown 27/30 -> retest fail pending,0.04657,0.04631,0.04739,0.04603,-2.2074157311907845,-0.572267,1.9186150300664884,short_exhaustion_retest,RANGE,68154.0,0.126,0.0991385957568681,0.09899172376314568,2.572262816562499,0.27335152742319296,0.0,neutral,0.0,31.0,26.712978602498634,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.56%,CONFIRMED,signal confirmed,1,1775089812363,UNDECIDED,,Y,1775089812363,N,,Y,,Y,,,not_due_yet,8.4174,0.0000,13.3133,0.0000,20.0558,0.0000,N,N,Y,Y,favor=8.42% adverse=0.00%,favor=13.31% adverse=0.00%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,110,10,signal confirmed,,,N,no_meaningful_fast_move,trend_continuation_friendly,LOW,WEAK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
RAYSOLUSDT-SHORT-EXH-1775088000000,RAYSOLUSDT-SHORT-EXH-1775088000000,1775088985717,1775088000000,RAYSOLUSDT,SHORT,55.98375217855731,0.5598375217855731,1h exhaustion 31/35 + 15m breakdown 25/30 -> retest fail pending,0.6534,0.6522,0.6614,0.6467,-0.21324818753906583,0.000541,2.6994162192688202,short_exhaustion_retest,RANGE,68154.0,0.126,0.0991385957568681,0.0991385957568681,2.572262816562499,0.27335152742319296,0.0,neutral,0.0,31.0,24.98375217855731,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.18%,CONFIRMED,signal confirmed,1,1775089813534,UNDECIDED,,Y,1775089813534,N,,Y,,Y,,,not_due_yet,3.0303,1.6682,3.1374,1.6682,3.1374,1.6682,Y,Y,Y,Y,favor=3.03% adverse=1.67%,favor=3.14% adverse=1.67%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,70,15,signal confirmed,,,N,no_meaningful_fast_move,trend_continuation_friendly,LOW,WEAK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
MINAUSDT-SHORT-EXH-1775088000000,MINAUSDT-SHORT-EXH-1775088000000,1775088991459,1775088000000,MINAUSDT,SHORT,64.33333333333334,0.6433333333333334,1h exhaustion 35/35 + 15m breakdown 29/30 -> retest fail pending,0.05862,0.05752,0.05921,0.05711,-1.013656794108582,-0.35629,6.756558626206236,short_exhaustion_retest,RANGE,68154.0,0.126,0.0991385957568681,0.0991385957568681,2.572262816562499,0.27335152742319296,0.0,neutral,0.0,35.0,29.333333333333343,0.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=1.88%,CONFIRMED,signal confirmed,2,1775090755368,UNDECIDED,,Y,1775090755368,N,,Y,,Y,,,not_due_yet,2.3200,0.9382,3.1900,0.9382,3.9577,0.9382,Y,Y,Y,Y,favor=2.32% adverse=0.94%,favor=3.19% adverse=0.94%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,109,14,signal confirmed,,,N,no_meaningful_fast_move,trend_continuation_friendly,LOW,OK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
BARDUSDT-SHORT-EXH-1775088000000,BARDUSDT-SHORT-EXH-1775088000000,1775088997706,1775088000000,BARDUSDT,SHORT,60.23076923076922,0.6023076923076922,1h exhaustion 31/35 + 15m breakdown 29/30 -> retest fail pending,0.3424,0.3387,0.3442,0.3377,-1.11558744719681,-0.13403,4.905558141066275,short_exhaustion_retest,RANGE,68156.4,0.13,0.1211693948139499,0.09443869195802826,2.5721722391440953,0.2732913787792147,0.0,neutral,0.0,31.0,29.23076923076922,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=1.08%,EXPIRED_WAIT,retest wait expired,3,1775091617506,,,N,,N,,Y,,Y,,1775091617506,true_close,5.7243,0.0000,5.9579,0.0000,6.6881,0.0000,N,N,Y,Y,favor=5.72% adverse=0.00%,favor=5.96% adverse=0.00%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,80,10,retest wait expired,retest wait expired,,N,no_meaningful_fast_move,trend_continuation_friendly,LOW,OK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
KATUSDT-SHORT-EXH-1775088000000,KATUSDT-SHORT-EXH-1775088000000,1775088998561,1775088000000,KATUSDT,SHORT,62.781445945574596,0.627814459455746,1h exhaustion 33/35 + 15m breakdown 30/30 -> retest fail pending,0.00997,0.00993,0.01005,0.00992,-0.27383696888478454,-0.234695,2.1198635133773527,short_exhaustion_retest,RANGE,68156.4,0.13,0.09443869195802826,0.09443869195802826,2.5721722391440953,0.27336436256067853,0.0,neutral,0.0,33.0,29.781445945574596,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.40%,INVALIDATED,retest invalidated,1,1775089814599,,,N,,N,,Y,,Y,,1775089814599,true_close,2.4072,0.8024,5.0150,0.8024,5.0150,0.8024,Y,Y,Y,Y,favor=2.41% adverse=0.80%,favor=5.02% adverse=0.80%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,110,25,retest invalidated,,retest invalidated,N,no_meaningful_fast_move,trend_continuation_friendly,LOW,OK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
PIPPINUSDT-LONG-1775089500000,PIPPINUSDT-LONG-1775089500000,1775089945912,1775089500000,PIPPINUSDT,LONG,76.2775666705578,0.7627756667055781,OI jump 2.06% + breakout pending + 15m up + 1h flat,0.0596,0.05974,0.05978,0.05862,2.0575819834232583,-0.055363,1.489707186776772,long_breakout_retest,RANGE,68213.4,0.461,0.18623368802920243,0.18638056002290349,2.570022898726652,0.3393766318298631,0.0,neutral,18.34549190053955,0.0,28.173327591847933,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,acceptance_floor_lost 0.059510<0.060110,1,1775090146247,,,N,,N,,Y,,Y,,1775090146247,true_close,5.6040,1.8456,5.6040,1.8456,5.6040,5.4362,Y,Y,Y,Y,favor=5.60% adverse=1.85%,favor=5.60% adverse=1.85%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,4,44,acceptance_floor_lost 0.059510<0.060110,,acceptance_floor_lost 0.059510<0.060110,Y,valid_missed_continuation,trend_continuation_friendly,HIGH,OK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
PIPPINUSDT-LONG-1775089800000,PIPPINUSDT-LONG-1775089800000,1775090154696,1775089800000,PIPPINUSDT,LONG,78.83226508445772,0.7883226508445772,OI jump 2.06% + breakout pending + 15m up + 1h flat,0.05978,0.06054,0.0606,0.05951,2.0575819834232583,-0.054047000000000005,1.6601184757096752,long_breakout_retest,RANGE,68239.9,0.518,0.22162983851423435,0.22353917443251906,2.5690248666835767,0.37325572193547396,0.0,neutral,18.34549190053955,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,6,1775091945276,,,N,,N,,Y,,Y,,1775091945276,true_close,2.6598,2.1412,2.8438,2.1412,4.8678,5.7210,Y,Y,Y,Y,favor=2.66% adverse=2.14%,favor=2.84% adverse=2.14%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,119,14,retest invalidated,,retest invalidated,N,no_meaningful_fast_move,RANGE,not_evaluated,OK,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ZBTUSDT-LONG-1775091300000,ZBTUSDT-LONG-1775091300000,1775091644417,1775091300000,ZBTUSDT,LONG,100.0,0.99,OI jump 2.62% + breakout pending + 15m up + 1h flat,0.10352,0.11018,0.11043,0.10239,2.623510416964575,0.005,6.736337210775658,long_breakout_retest,RANGE,68438.5,0.22,0.5340265691436714,-0.19703901839274762,2.561569876604551,0.9142426380677353,0.0,neutral,21.74106250178745,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,4,1775092878878,,,N,,N,,Y,,Y,,1775092878878,true_close,0.0773,4.3663,0.0773,4.3663,0.0773,4.7141,Y,Y,Y,Y,favor=0.08% adverse=4.37%,favor=0.08% adverse=4.37%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,29,9,retest invalidated,,retest invalidated,N,adverse_too_large,RANGE,not_evaluated,STRONG,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
BANKUSDT-LONG-1775091600000,BANKUSDT-LONG-1775091600000,1775091923528,1775091600000,BANKUSDT,LONG,89.26713240512395,0.8926713240512395,OI jump 3.58% + breakout pending + 15m flat + 1h flat,0.05753,0.05818,0.05833,0.05643,3.5769240636214104,0.005,1.8723846643276663,long_breakout_retest,BEARISH,67598.1,-1.012,-0.657252171869607,-1.3506871571688888,2.593416087138552,1.530182291281657,0.0,bearish,27.461544381728462,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,1,1775092225987,,,N,,N,,Y,,Y,,1775092225987,true_close,4.6932,23.9353,4.6932,23.9353,4.6932,23.9353,Y,Y,Y,Y,favor=4.69% adverse=23.94%,favor=4.69% adverse=23.94%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,10,25,retest invalidated,,retest invalidated,N,adverse_too_large,unclear_mixed,MEDIUM,STRONG,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
CUSDT-LONG-1775092200000,CUSDT-LONG-1775092200000,1775092637871,1775092200000,CUSDT,LONG,92.9334670226409,0.9293346702264089,OI jump 2.24% + breakout pending + 15m flat + 1h flat,0.079,0.0798,0.07984,0.07836,2.2379262610639215,0.001075,2.02498871605611,long_breakout_retest,RANGE,67875.6,-0.33,-0.28801597967292464,-0.9803821477690714,2.582813264265812,1.5335010546410184,0.0,neutral,19.427557566383527,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,3,1775093419314,,,N,,N,,Y,,Y,,1775093419314,true_close,0.1646,2.6835,5.0253,3.9620,5.0253,8.0000,Y,Y,Y,Y,favor=0.16% adverse=2.68%,favor=5.03% adverse=3.96%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,120,65,retest invalidated,,retest invalidated,N,no_meaningful_fast_move,RANGE,not_evaluated,STRONG,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
