pending_id,setup_id,created_ts_ms,signal_open_time,symbol,side,score,confidence,reason,breakout_level,signal_price,signal_high,signal_low,oi_jump_pct,funding_pct,vol_ratio,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,status,close_reason,bars_waited,closed_ts_ms,send_decision,skip_reason,is_confirmed,confirmed_ts_ms,is_sent_signal,sent_ts_ms,review_eligible,review_exclusion_reason,semantic_consistency,semantic_issue,close_anchor_time_ms,close_capture_basis,future_1h_max_favor_pct,future_1h_max_adverse_pct,future_2h_max_favor_pct,future_2h_max_adverse_pct,future_4h_max_favor_pct,future_4h_max_adverse_pct,reclaim_breakout_2h_YN,reclaim_breakout_4h_YN,outcome_1h_available,outcome_2h_available,outcome_1h_summary,outcome_2h_summary,post_close_outcome_notes,outcome_conclusion_code,entry_feasible_YN,entry_feasible_window_minutes,entry_slippage_pct,entry_execution_note,time_to_max_favor_minutes,time_to_max_adverse_minutes,close_trigger_detail,confirm_fail_detail,invalidation_detail,regret_valid_YN,regret_filter_reason,regime_label,regime_fit_for_strategy,setup_quality_band,delivery_band,veto_reason_code,dispatch_action,dispatch_confidence_band,dispatch_reason
BARDUSDT-LONG-1774224900000,BARDUSDT-LONG-1774224900000,1774225375492,1774224900000,BARDUSDT,LONG,77.21163201685542,0.7721163201685541,OI jump 2.47% + breakout pending + 15m flat + 1h flat,0.483,0.488,0.4887,0.4802,2.4656237602898,-0.26917,1.2585415315793662,long_breakout_retest,BEARISH,67902.3,-1.308,0.10570450504639069,0.10570450504639069,3.322126054640274,0.5270808205318438,0.0,bearish,20.7937425617388,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,2,1774225838808,,,,,,,Y,,Y,,1774225838808,true_close,1.4493,0.8696,1.5735,2.2981,4.8861,2.2981,Y,Y,Y,Y,favor=1.45% adverse=0.87%,favor=1.57% adverse=2.30%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,114,94,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
KATUSDT-LONG-1774225200000,KATUSDT-LONG-1774225200000,1774225699508,1774225200000,KATUSDT,LONG,100.0,0.99,OI jump 4.95% + breakout pending + 15m up + 1h flat,0.01167,0.01212,0.01214,0.01151,4.952458765179839,0.003945,5.436879296395411,long_breakout_retest,BEARISH,68035.4,-1.119,0.26521953218752914,0.3019286280822937,3.315626864838015,0.5802045272421256,0.0,bearish,35.0,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,EXPIRED_WAIT,retest wait expired,8,1774227931234,,,,,,,Y,,Y,,1774227931234,true_close,3.5133,1.7995,4.1988,1.7995,7.8835,1.7995,Y,Y,Y,Y,favor=3.51% adverse=1.80%,favor=4.20% adverse=1.80%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,119,29,,,,N,no_meaningful_fast_move,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ORDERUSDT-SHORT-EXH-1774224900000,ORDERUSDT-SHORT-EXH-1774224900000,1774225862376,1774224900000,ORDERUSDT,SHORT,62.730072181029634,0.6273007218102964,1h exhaustion 35/35 + 15m breakdown 28/30 -> retest fail pending,0.05823,0.05764,0.06029,0.05756,-2.161594110899757,-0.061785,1.6336271989782654,short_exhaustion_retest,BEARISH,67933.6,-1.346,0.15184887056874033,0.15553452276701074,3.3205954049248128,0.5808613116337213,0.0,bearish,0.0,35.0,27.730072181029634,0.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=1.01%,EXPIRED_WAIT,retest wait expired,3,1774228570635,,,,,,,Y,,Y,,1774228570635,true_close,3.0225,0.0000,3.0225,0.0000,3.0225,2.9882,N,Y,Y,Y,favor=3.02% adverse=0.00%,favor=3.02% adverse=0.00%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,N,10,,entry not reached within 10m,14,89,,,,N,entry_not_feasible,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ANKRUSDT-SHORT-EXH-1774224900000,ANKRUSDT-SHORT-EXH-1774224900000,1774225873014,1774224900000,ANKRUSDT,SHORT,48.67342286036562,0.48673422860365617,1h exhaustion 23/35 + 15m breakdown 26/30 -> retest fail pending,0.005182,0.005173,0.00524,0.005165,-0.8565450508947982,-0.058918000000000005,1.9473562681210979,short_exhaustion_retest,BEARISH,67919.0,-1.486,0.148900348810124,0.13032466173083265,3.3213092065548713,0.5808784129919004,0.0,bearish,0.0,23.0,25.67342286036562,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.17%,INVALIDATED,retest invalidated,2,1774227611774,,,,,,,Y,,Y,,1774227611774,true_close,1.4473,0.4438,1.4666,0.4438,1.5052,0.4438,Y,Y,Y,Y,favor=1.45% adverse=0.44%,favor=1.47% adverse=0.44%,entry_ref_from_breakout_level,KILL_CORRECT,N,10,,entry not reached within 10m,65,5,,,,N,entry_not_feasible,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
GUNUSDT-LONG-1774228500000,GUNUSDT-LONG-1774228500000,1774229083696,1774228500000,GUNUSDT,LONG,98.513415153505,0.9851341515350499,OI jump 2.00% + breakout pending + 15m flat + 1h flat,0.02668,0.02681,0.02684,0.02625,2.0000762306032995,0.000815,2.5457921257823957,long_breakout_retest,BEARISH,68078.5,-1.39,0.3529380545063646,0.6386517352256348,3.3135277657410236,1.0731599823710885,0.0,bearish,18.000457383619796,0.0,39.96401151514477,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,acceptance_floor_lost 0.026710<0.026825,1,1774229212422,,,,,,,Y,,Y,,1774229212422,true_close,0.4873,3.4858,1.4618,3.4858,7.6837,3.4858,Y,Y,Y,Y,favor=0.49% adverse=3.49%,favor=1.46% adverse=3.49%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,68,8,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
BTRUSDT-LONG-1774228500000,BTRUSDT-LONG-1774228500000,1774229086311,1774228500000,BTRUSDT,LONG,100.0,0.99,OI jump 2.03% + breakout pending + 15m flat + 1h up,0.19351,0.19611,0.19711,0.1929,2.027323530141928,0.074277,3.30313404240644,long_breakout_retest,BEARISH,68078.5,-1.39,0.36561669806842334,0.6386517352256348,3.3135277657410236,1.0730244158957438,0.0,bearish,18.16394118085157,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_up,EXPIRED_WAIT,retest wait expired,8,1774231280966,,,,,,,Y,,Y,,1774231280966,true_close,2.7854,2.3048,2.7854,3.3435,2.7854,3.3590,Y,Y,Y,Y,favor=2.79% adverse=2.30%,favor=2.79% adverse=3.34%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,4,94,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
SIRENUSDT-LONG-1774229100000,SIRENUSDT-LONG-1774229100000,1774229533409,1774229100000,SIRENUSDT,LONG,98.42628048197676,0.9842628048197676,OI jump 4.44% + breakout pending + 15m up + 1h flat,2.47751,2.53498,2.5431,2.38,4.443158321899597,-0.056806999999999996,2.08580368264852,long_breakout_retest,BEARISH,68060.3,-1.353,0.3626681763098071,0.6176590161510928,3.314413835966052,1.0730559399264945,0.0,bearish,32.658949931397586,0.0,40.0,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,1,1774229854759,,,,,,,Y,,Y,,1774229854759,true_close,12.2389,7.8426,12.2389,7.8426,16.6009,7.8426,Y,Y,Y,Y,favor=12.24% adverse=7.84%,favor=12.24% adverse=7.84%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,22,47,,,,Y,valid_missed_continuation,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
RIVERUSDT-LONG-1774230000000,RIVERUSDT-LONG-1774230000000,1774230493582,1774230000000,RIVERUSDT,LONG,100.0,0.99,OI jump 2.58% + breakout pending + 15m flat + 1h flat,30.909,31.184,31.47,30.597,2.5771536812048135,0.005,3.4596515966580528,long_breakout_retest,BEARISH,68003.5,-1.252,0.25489970603237205,0.5316184351554213,3.3171822038571586,1.0742094156918394,0.0,bearish,21.462922087228883,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,1,1774230650535,,,,,,,Y,,Y,,1774230650535,true_close,0.0000,12.7827,0.0000,12.7827,0.0000,12.7827,Y,Y,Y,Y,favor=0.00% adverse=12.78%,favor=0.00% adverse=12.78%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,4,29,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
SIGNUSDT-LONG-1774230600000,SIGNUSDT-LONG-1774230600000,1774230980308,1774230600000,SIGNUSDT,LONG,78.0621407874639,0.7806214078746391,OI jump 2.13% + breakout pending + 15m up + 1h flat,0.05435,0.05466,0.05493,0.05376,2.1262583162721325,0.005,1.7157423650043742,long_breakout_retest,BEARISH,67881.3,-1.512,0.08005236574641586,0.34978009387590026,3.3231537993526974,1.0760861399221329,0.0,bearish,18.757549897632796,0.0,33.72021787742743,0.0,oi_jump;5m_breakout;15m_up;1h_flat,EXPIRED_WAIT,retest wait expired,8,1774233333191,,,,,,,Y,,Y,,1774233333191,true_close,0.0000,3.5879,0.0000,3.5879,0.0000,4.5262,Y,Y,Y,Y,favor=0.00% adverse=3.59%,favor=0.00% adverse=3.59%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,4,9,,,,N,adverse_too_large,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
GALAUSDT-LONG-1774232700000,GALAUSDT-LONG-1774232700000,1774233035587,1774232700000,GALAUSDT,LONG,94.45964779874242,0.9445964779874242,OI jump 2.39% + breakout pending + 15m up + 1h flat,0.00308,0.00309,0.00309,0.00307,2.3871936463402728,0.002937,2.02444629603504,long_breakout_retest,BEARISH,68237.2,-1.555,0.5726029255232803,0.5327393054352245,3.3058214580903127,1.3107785221126036,0.0,bearish,20.32316187804164,0.0,36.7908336203661,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,1,1774233333296,,,,,,,Y,,Y,,1774233333296,true_close,0.6494,0.6494,0.6494,0.6494,0.6494,1.6234,Y,Y,Y,Y,favor=0.65% adverse=0.65%,favor=0.65% adverse=0.65%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,24,9,,,,N,no_meaningful_fast_move,BEARISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
