pending_id,setup_id,created_ts_ms,signal_open_time,symbol,side,score,confidence,reason,breakout_level,signal_price,signal_high,signal_low,oi_jump_pct,funding_pct,vol_ratio,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,status,close_reason,bars_waited,closed_ts_ms,send_decision,skip_reason,is_confirmed,confirmed_ts_ms,is_sent_signal,sent_ts_ms,review_eligible,review_exclusion_reason,semantic_consistency,semantic_issue,close_anchor_time_ms,close_capture_basis,future_1h_max_favor_pct,future_1h_max_adverse_pct,future_2h_max_favor_pct,future_2h_max_adverse_pct,future_4h_max_favor_pct,future_4h_max_adverse_pct,reclaim_breakout_2h_YN,reclaim_breakout_4h_YN,outcome_1h_available,outcome_2h_available,outcome_1h_summary,outcome_2h_summary,post_close_outcome_notes,outcome_conclusion_code,entry_feasible_YN,entry_feasible_window_minutes,entry_slippage_pct,entry_execution_note,time_to_max_favor_minutes,time_to_max_adverse_minutes,close_trigger_detail,confirm_fail_detail,invalidation_detail,regret_valid_YN,regret_filter_reason,regime_label,regime_fit_for_strategy,setup_quality_band,delivery_band,veto_reason_code,dispatch_action,dispatch_confidence_band,dispatch_reason
PIXELUSDT-SHORT-EXH-1775001600000,PIXELUSDT-SHORT-EXH-1775001600000,1775002511633,1775001600000,PIXELUSDT,SHORT,61.80480480480477,0.6180480480480477,1h exhaustion 33/35 + 15m breakdown 29/30 -> retest fail pending,0.008081,0.007964,0.008124,0.007902,-0.7844623863105804,-0.035462,4.548565484512209,short_exhaustion_retest,BULLISH,68012.2,2.097,-0.3360125436867638,-0.3360125436867638,3.914003664048509,0.39140036640484666,0.0,bullish,0.0,33.0,28.804804804804768,0.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=1.45%,EXPIRED_WAIT,retest wait expired,3,1775005363028,,,N,,N,,Y,,Y,,1775005363028,true_close,1.7448,0.0000,1.7448,0.0000,2.4502,0.0866,N,Y,Y,Y,favor=1.74% adverse=0.00%,favor=1.74% adverse=0.00%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,27,67,retest wait expired,retest wait expired,,Y,valid_missed_continuation,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
TAOUSDT-SHORT-EXH-1775001600000,TAOUSDT-SHORT-EXH-1775001600000,1775002644823,1775001600000,TAOUSDT,SHORT,60.49080042818683,0.6049080042818683,1h exhaustion 31/35 + 15m breakdown 29/30 -> retest fail pending,304.88,303.52,306.07,303.23,-0.731270233532711,0.005,2.061493803324198,short_exhaustion_retest,BULLISH,68073.9,2.239,-0.23270297399676573,-0.24574489130514,3.9104561366397403,0.39099506923197397,0.0,bullish,0.0,31.0,29.49080042818683,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.45%,CONFIRMED,signal confirmed,2,1775004444165,UNDECIDED,,Y,1775004444165,N,,Y,,Y,,,not_due_yet,0.8102,1.0234,1.1086,1.0234,1.1086,1.0234,Y,Y,Y,Y,favor=0.81% adverse=1.02%,favor=1.11% adverse=1.02%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,98,23,signal confirmed,,,N,adverse_too_large,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
SEIUSDT-LONG-1775002200000,SEIUSDT-LONG-1775002200000,1775002677457,1775002200000,SEIUSDT,LONG,100.0,0.99,OI jump 3.06% + breakout pending + 15m flat + 1h flat,0.05029,0.0504,0.05044,0.04979,3.0606126303448216,-0.042065,6.444637454772445,long_breakout_retest,BULLISH,68131.0,2.325,-0.16207146677609052,-0.1619249283793586,3.9071788172784783,0.39071845520901255,0.0,bullish,24.36367578206893,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,acceptance_floor_lost 0.050340<0.050857,1,1775002971048,,,N,,N,,Y,,Y,,1775002971048,true_close,2.2867,0.0000,2.2867,0.0000,3.4599,0.0000,N,N,Y,Y,favor=2.29% adverse=0.00%,favor=2.29% adverse=0.00%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,32,97,acceptance_floor_lost 0.050340<0.050857,,acceptance_floor_lost 0.050340<0.050857,Y,valid_missed_continuation,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
GUSDT-LONG-1775002500000,GUSDT-LONG-1775002500000,1775002816411,1775002500000,GUSDT,LONG,100.0,0.99,OI jump 5.72% + breakout pending + 15m flat + 1h flat,0.003957,0.004009,0.004018,0.003887,5.7173856185388665,-0.23510699999999998,1.9561894221799832,long_breakout_retest,BULLISH,68110.2,2.293,-0.15577031571698,-0.19709414359297497,3.9083720206371444,0.39069379703882445,0.0,bullish,35.0,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,2,1775003462681,,,N,,N,,Y,,Y,,1775003462681,true_close,4.3467,1.0614,4.3467,1.6679,4.3467,2.9062,Y,Y,Y,Y,favor=4.35% adverse=1.06%,favor=4.35% adverse=1.67%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,39,64,retest invalidated,,retest invalidated,Y,valid_missed_continuation,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ALGOUSDT-LONG-1775003700000,ALGOUSDT-LONG-1775003700000,1775004137227,1775003700000,ALGOUSDT,LONG,100.0,0.99,OI jump 3.70% + breakout pending + 15m up + 1h flat,0.0955,0.0957,0.0959,0.0946,3.702839082891396,0.01,2.666766000204639,long_breakout_retest,BULLISH,67969.9,1.762,-0.3874475209366649,-0.3979982855007669,3.9164394827710503,0.6375676514590857,0.0,bullish,28.217034497348376,0.0,34.72407566292711,0.0,oi_jump;5m_breakout;15m_up;1h_flat,INVALIDATED,retest invalidated,1,1775004445124,,,N,,N,,Y,,Y,,1775004445124,true_close,3.9791,0.0000,4.5026,0.1047,7.1204,0.1047,Y,Y,Y,Y,favor=3.98% adverse=0.00%,favor=4.50% adverse=0.10%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,68,118,retest invalidated,,retest invalidated,N,no_meaningful_fast_move,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
ALGOUSDT-LONG-1775004300000,ALGOUSDT-LONG-1775004300000,1775004797777,1775004300000,ALGOUSDT,LONG,79.08689572879507,0.7908689572879507,OI jump 3.38% + breakout pending + 15m up + 1h flat,0.096,0.0967,0.0968,0.0957,3.3768009556493035,0.01,1.4831226815631564,long_breakout_retest,BULLISH,68221.0,1.783,-0.047185363744931,-0.03590190719723336,3.9020243033669986,0.6790862829555457,0.0,bullish,26.260805733895822,0.0,34.460099725742275,0.0,oi_jump;5m_breakout;15m_up;1h_flat,EXPIRED_WAIT,retest wait expired,8,1775007006419,,,N,,N,,Y,,Y,,1775007006419,true_close,3.9583,0.0000,3.9583,0.6250,7.8125,0.6250,Y,Y,Y,Y,favor=3.96% adverse=0.00%,favor=3.96% adverse=0.63%,entry_ref_from_breakout_level,WAIT_TOO_SHORT_CANDIDATE,Y,10,0.0000,entry still reachable within 10m,25,75,retest wait expired,retest wait expired,,Y,valid_missed_continuation,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
STOUSDT-LONG-1775004600000,STOUSDT-LONG-1775004600000,1775004950156,1775004600000,STOUSDT,LONG,100.0,0.99,OI jump 4.43% + breakout pending + 15m flat + 1h up,0.212,0.21517,0.21665,0.20681,4.431751586197373,-0.067723,3.256415631551009,long_breakout_retest,BULLISH,68261.9,1.729,0.06579574012879873,0.05099536205974797,3.8996863550531122,0.7278169591602428,0.0,bullish,32.59050951718424,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_up,INVALIDATED,retest invalidated,1,1775005364009,,,N,,N,,Y,,Y,,1775005364009,true_close,0.0000,7.4057,0.0000,12.4764,0.0000,12.4764,Y,Y,Y,Y,favor=0.00% adverse=7.41%,favor=0.00% adverse=12.48%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,2,107,retest invalidated,,retest invalidated,N,adverse_too_large,BULLISH,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
NOMUSDT-LONG-1775005200000,NOMUSDT-LONG-1775005200000,1775005538344,1775005200000,NOMUSDT,LONG,100.0,0.99,OI jump 2.21% + breakout pending + 15m flat + 1h flat,0.004617,0.004807,0.004955,0.00458,2.2073423940255217,0.0031730000000000005,7.297508826555125,long_breakout_retest,BULLISH,68284.9,1.773,0.0805961181978708,-0.004393158388003749,3.8983728467054943,0.7641680027526947,0.0,bullish,19.24405436415313,0.0,40.0,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,EXPIRED_WAIT,retest wait expired,8,1775007992886,,,N,,N,,Y,,Y,,1775007992886,true_close,10.3314,0.0000,14.3600,0.0000,25.6010,0.0000,N,N,Y,Y,favor=10.33% adverse=0.00%,favor=14.36% adverse=0.00%,entry_ref_from_breakout_level,NO_MEANINGFUL_MOVE,Y,10,0.0000,entry still reachable within 10m,83,33,retest wait expired,retest wait expired,,N,no_meaningful_fast_move,BULLISH,not_evaluated,STRONG,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
DUSDT-SHORT-EXH-1775005200000,DUSDT-SHORT-EXH-1775005200000,1775006212739,1775005200000,DUSDT,SHORT,58.83668404070484,0.5883668404070483,1h exhaustion 33/35 + 15m breakdown 26/30 -> retest fail pending,0.00632,0.006308,0.006546,0.006206,-4.480229762419487,0.004252,4.007720542377426,short_exhaustion_retest,BULLISH,68121.9,1.182,-0.16397646593347767,-0.2321052014995314,3.9077007540893605,0.7660400178483275,0.0,bullish,0.0,33.0,25.83668404070484,0.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.19%,INVALIDATED,retest invalidated,1,1775007007387,,,N,,N,,Y,,Y,,1775007007387,true_close,1.1392,0.4747,1.6614,0.4747,4.0823,0.4747,Y,Y,Y,Y,favor=1.14% adverse=0.47%,favor=1.66% adverse=0.47%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,120,5,retest invalidated,,retest invalidated,N,no_meaningful_fast_move,BULLISH,not_evaluated,WEAK,not_evaluated,not_evaluated,WATCHLIST,MEDIUM,manual_dispatch_test
PLAYUSDT-LONG-1775007900000,PLAYUSDT-LONG-1775007900000,1775008360080,1775007900000,PLAYUSDT,LONG,99.34159806483913,0.99,OI jump 3.04% + breakout pending + 15m flat + 1h flat,0.05354,0.05382,0.05396,0.05189,3.0424245059676327,0.005,2.241840474156981,long_breakout_retest,RANGE,67823.3,-0.135,-0.6128235750972606,-0.6806466729147185,3.924904863078028,0.8476438038255204,0.0,neutral,24.254547035805796,0.0,39.44234322264502,0.0,oi_jump;5m_breakout;15m_flat;1h_flat,INVALIDATED,retest invalidated,1,1775008652572,,,N,,N,,Y,,Y,,1775008652572,true_close,0.6724,2.8390,0.6724,3.7916,0.6724,6.5745,Y,Y,Y,Y,favor=0.67% adverse=2.84%,favor=0.67% adverse=3.79%,entry_ref_from_breakout_level,KILL_CORRECT,Y,10,0.0000,entry still reachable within 10m,2,117,retest invalidated,,retest invalidated,N,adverse_too_large,RANGE,not_evaluated,STRONG,not_evaluated,not_evaluated,not_evaluated,not_evaluated,not_evaluated
