category,signal_id,pending_id,symbol,side,strategy,score,outcome,r_multiple,status,close_reason,image_path
pending_invalidated,,XANUSDT-LONG-1773928500000,XANUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,COSUSDT-LONG-1773932400000,COSUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,stale_breakout runup 7.35%,
pending_invalidated,,UAIUSDT-LONG-1773936600000,UAIUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,TAOUSDT-LONG-1773942600000,TAOUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,BTRUSDT-LONG-1773946500000,BTRUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,ENJUSDT-LONG-1773951000000,ENJUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,PIPPINUSDT-LONG-1773972000000,PIPPINUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,KATUSDT-LONG-1773972000000,KATUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,SIRENUSDT-LONG-1773973500000,SIRENUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,ARCUSDT-LONG-1773975300000,ARCUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,EDGEUSDT-LONG-1773977400000,EDGEUSDT,LONG,legacy_5m_retest,100.0,,,INVALIDATED,stale_breakout runup 3.96%,
pending_invalidated,,COSUSDT-LONG-1773984300000,COSUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,COSUSDT-LONG-1773998100000,COSUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,ETHFIUSDT-LONG-1773999600000,ETHFIUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,acceptance_floor_lost 0.551100<0.555610,
pending_invalidated,,PIXELUSDT-LONG-1774014000000,PIXELUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,ENJUSDT-LONG-1774018500000,ENJUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,PHAUSDT-LONG-1774019400000,PHAUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,BTRUSDT-LONG-1774021800000,BTRUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,APRUSDT-LONG-1774022100000,APRUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,PLAYUSDT-LONG-1774022700000,PLAYUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,WAXPUSDT-LONG-1774027800000,WAXPUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,FARTCOINUSDT-LONG-1774044000000,FARTCOINUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,PIPPINUSDT-LONG-1774056000000,PIPPINUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,retest invalidated,
pending_invalidated,,RIVERUSDT-LONG-1774061700000,RIVERUSDT,LONG,long_breakout_retest,100.0,,,INVALIDATED,acceptance_floor_lost 22.254000<22.759450,
