signal_id,setup_id,timestamp_ms,symbol,side,entry_ref,stop,tp1,tp2,outcome,r_multiple,bars_checked,close_time_ms,close_reason,config_version,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,risk_pct_real,sl_distance_pct,tp1_distance_pct,tp2_distance_pct,break_distance_pct,retest_depth_pct,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,stop_was_forced_min_risk,mfe_pct,mae_pct,manual_tradable,manual_trade_note
RIVERUSDT-SHORT-1773927000000-1,RIVERUSDT-SHORT-EXH-1773927000000,1773927000000,RIVERUSDT,SHORT,25.705,26.47615,24.933849999999996,24.162699999999994,WIN_TP1,1.0000,4,1773931565749,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,69917.8,-3.065,0.00028601337398120554,0.07485726308678563,4.4968520176550255,1.5653467187209602,0.0,bearish,3.000000000000009,3.000000000000009,3.000000000000009,6.000000000000018,1.8181123715671772,0.0,0.0,33.0,27.871113522682727,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=2.58%,yes,3.1239,1.6923,yes,good_for_manual
ENAUSDT-SHORT-1773916200000-1,ENAUSDT-SHORT-EXH-1773916200000,1773916200000,ENAUSDT,SHORT,0.1032,0.106296,0.100104,0.097008,EXPIRED,0.1292,36,1773949606562,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,70184.8,-5.013,0.028797449857505496,0.08473367378961254,6.5736455756801995,0.9615864251987764,0.0,bearish,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.48216007714561276,0.0,0.0,35.0,26.50703038046389,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.48%,yes,2.6163,0.3876,yes,good_for_manual
AXSUSDT-SHORT-1773924300000-1,AXSUSDT-SHORT-EXH-1773924300000,1773924300000,AXSUSDT,SHORT,1.161,1.1958300000000002,1.12617,1.0913399999999998,LOSS_STOP,-1.0000,31,1773953248749,stop hit before tp,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,69219.9,-4.357,-1.0485250290303534,-0.07651816367957079,5.052737724267155,1.267169217962359,0.0,bearish,3.0000000000000115,3.0000000000000115,3.0000000000000115,6.000000000000023,0.5141388174807203,0.17137960582690673,0.0,25.0,28.705882352941146,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.43%,yes,0.2584,3.0146,yes,good_for_manual
ICPUSDT-SHORT-1773922500000-1,ICPUSDT-SHORT-EXH-1773922500000,1773922500000,ICPUSDT,SHORT,2.51,2.5852999999999997,2.4347,2.3594,EXPIRED,0.2922,36,1773955935813,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,69580.1,-3.78,-0.49594719049063146,-0.5040985716492103,4.4932387277396755,0.5960045990227034,0.0,bearish,2.9999999999999973,2.9999999999999973,2.9999999999999973,5.999999999999995,0.27810885975367966,0.0,0.0,33.0,29.15151515151517,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.32%,yes,2.2709,0.2789,yes,good_for_manual
APTUSDT-SHORT-1773933300000-1,APTUSDT-SHORT-EXH-1773933300000,1773933300000,APTUSDT,SHORT,0.9274,0.955222,0.899578,0.871756,EXPIRED,-0.7620,36,1773966711853,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,68780.0,-3.561,-1.6445769004158635,-0.9418272975848929,4.682756615295148,2.0136150562399076,0.0,bearish,3.0000000000000013,3.0000000000000013,3.0000000000000013,6.000000000000003,0.3117273997635186,0.0,0.0,27.0,25.76619668890933,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.41%,yes,0.1833,2.5124,yes,good_for_manual
XRPUSDT-SHORT-1773933300000-1,XRPUSDT-SHORT-EXH-1773933300000,1773933300000,XRPUSDT,SHORT,1.4276,1.470428,1.384772,1.3419439999999998,EXPIRED,-0.4390,36,1773966712373,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,68780.1,-3.561,-1.6398576797451005,-0.9694730461151284,4.682749806993596,2.0135184450153587,0.0,bearish,3.000000000000006,3.000000000000006,3.000000000000006,6.000000000000012,0.30030030030029825,0.0,0.0,23.0,29.68262105594367,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.29%,yes,0.4413,1.9333,yes,good_for_manual
TRXUSDT-SHORT-1773934200000-1,TRXUSDT-SHORT-EXH-1773934200000,1773934200000,TRXUSDT,SHORT,0.29976,0.30875280000000005,0.2907672,0.2817744,EXPIRED,-0.5093,36,1773967661851,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,69393.2,-2.958,0.08259733295662834,0.029550529242771295,4.655355279768047,0.15483220509866052,0.0,bearish,3.0000000000000075,3.0000000000000075,3.0000000000000075,6.000000000000015,0.45495301032775953,0.0,0.0,27.0,26.62760126819842,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.18%,yes,0.2969,1.5879,yes,good_for_manual
1000PEPEUSDT-SHORT-1773938700000-1,1000PEPEUSDT-SHORT-EXH-1773938700000,1773938700000,1000PEPEUSDT,SHORT,0.0033396,0.003439788,0.0032394119999999997,0.0031392239999999995,LOSS_STOP,-1.0000,33,1773969404996,stop hit before tp,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,69168.6,-2.92,-0.2942079521194811,-0.37118498321240956,4.670471861509413,0.7896646744332133,0.0,bearish,3.0000000000000058,3.0000000000000058,3.0000000000000058,6.0000000000000115,0.18530695199952307,0.0,0.0,33.0,23.31940416011334,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.17%,yes,0.2815,3.1231,yes,good_for_manual
SIMCASE-SIG-SIMSHORTUSDT-SHORT-1773987419187,SIMCASE-SIMSHORTUSDT-SHORT-1773987419187,1773987419187,SIMSHORTUSDT,SHORT,50.0,51.5,48.5,47.0,WIN_TP1,1.0000,3,1773987419659,simulated_short_tp1,SIMULATED_SIGNAL_CASE_V3,short_exhaustion_retest,simulated,85000.0,1.2,0.4,0.1,3.0,1.1,56.0,neutral,0.8,3.0,3.0,6.0,0.5,0.2,1.5,1.2,2.4,4.5,simulated;case:short_tp1,no,6.4000,0.7000,yes,simulated_runtime_case
SIMCASE-SIG-SIMLONGUSDT-LONG-1773987446309,SIMCASE-SIMLONGUSDT-LONG-1773987446309,1773987446309,SIMLONGUSDT,LONG,100.0,97.0,103.0,106.0,WIN_TP2,2.0000,3,1773987446776,simulated_long_tp2,SIMULATED_SIGNAL_CASE_V3,long_breakout_retest,simulated,85000.0,1.2,0.4,0.1,3.0,1.1,56.0,neutral,0.8,3.0,3.0,6.0,0.5,0.2,1.5,0.0,2.4,4.5,simulated;case:long_tp2,no,6.4000,0.7000,yes,simulated_runtime_case
SIMCASE-SIG-SIMSHORTUSDT-SHORT-1773989760666,SIMCASE-SIMSHORTUSDT-SHORT-1773989760666,1773989760666,SIMSHORTUSDT,SHORT,50.0,51.5,48.5,47.0,WIN_TP1,1.0000,3,1773989761120,simulated_short_tp1,SIMULATED_SIGNAL_CASE_V4,short_exhaustion_retest,simulated,85000.0,1.2,0.4,0.1,3.0,1.1,56.0,neutral,0.8,3.0,3.0,6.0,0.5,0.2,1.5,1.2,2.4,4.5,simulated;case:short_tp1,no,6.4000,0.7000,yes,simulated_runtime_case
XPLUSDT-SHORT-1774000800000-1,XPLUSDT-SHORT-1774000800000-1,1774000800000,XPLUSDT,SHORT,0.099,0.10197,0.09603,0.09306,WIN_TP1,1.0000,19,1774018860477,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,70300.0,-0.049,-0.7330688768413096,-0.34729654447025937,3.6873399715504935,1.6604830082170534,0.0,neutral,3.0000000000000004,3.0000000000000004,3.0000000000000004,6.000000000000001,0.20161290322579825,0.2016129032258122,0.0,25.0,27.636971704250364,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.30%,yes,4.4444,2.4242,yes,good_for_manual
