signal_id,setup_id,timestamp_ms,symbol,side,entry_ref,stop,tp1,tp2,outcome,r_multiple,bars_checked,close_time_ms,close_reason,config_version,strategy,market_regime,btc_price,btc_24h_change_pct,btc_4h_change_pct,btc_1h_change_pct,btc_24h_range_pct,btc_4h_range_pct,alt_market_breadth_pct,btc_regime,risk_pct_real,sl_distance_pct,tp1_distance_pct,tp2_distance_pct,break_distance_pct,retest_depth_pct,score_oi,score_exhaustion,score_breakout,score_retest,reason_tags,stop_was_forced_min_risk,mfe_pct,mae_pct,manual_tradable,manual_trade_note
1000SHIBUSDT-SHORT-1775009700000-2,1000SHIBUSDT-SHORT-1775009700000-2,1775009700000,1000SHIBUSDT,SHORT,0.00589,0.0060667,0.0057133,0.0055366,EXPIRED,-0.5999,36,1775043054122,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,67658.8,-0.373,-0.853879237707256,0.05885501849940836,3.934447551538011,1.1751612502734394,0.0,neutral,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.3552698358991595,0.0,0.0,33.0,23.549889112117707,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.17%,yes,0.0679,2.5297,yes,good_for_manual
PENGUUSDT-SHORT-1775034000000-2,PENGUUSDT-SHORT-1775034000000-2,1775034000000,PENGUUSDT,SHORT,0.006557,0.0067537100000000004,0.00636029,0.00616358,LOSS_STOP,-1.0000,32,1775063825116,stop hit before tp,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,68481.6,3.103,-0.2480630543364253,-0.21739510540456627,4.891824957360809,0.6739036471110488,0.0,bullish,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.31924597141987415,0.16722408026756755,0.0,23.0,25.92239994235968,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.29%,yes,0.7015,3.0197,yes,good_for_manual
ZECUSDT-SHORT-1775042100000-2,ZECUSDT-SHORT-1775042100000-2,1775042100000,ZECUSDT,SHORT,245.98,253.3594,238.6006,231.22119999999998,LOSS_STOP,-1.0000,33,1775072718104,stop hit before tp,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,68655.0,2.923,-0.035532307459300486,-0.021552383213006513,4.243827834826313,0.05797903722749913,0.0,bullish,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.1704545454545519,0.016233766233763002,0.0,33.0,26.60453166525862,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.16%,yes,2.8823,3.6304,yes,good_for_manual
ZECUSDT-SHORT-1775042100000-2,ZECUSDT-SHORT-1775042100000-2,1775042100000,ZECUSDT,SHORT,245.98,253.3594,238.6006,231.22119999999998,LOSS_STOP,-1.0000,33,1775072719673,stop hit before tp,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,68645.6,2.909,-0.021552383213006513,-0.021552383213006513,4.24440896430362,0.05797093005472704,0.0,bullish,3.0000000000000018,3.0000000000000018,3.0000000000000018,6.0000000000000036,0.1704545454545519,0.016233766233763002,0.0,33.0,26.60453166525862,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.16%,yes,2.8823,3.6304,yes,good_for_manual
BNBUSDT-SHORT-1775050200000-1,BNBUSDT-SHORT-1775050200000-1,1775050200000,BNBUSDT,SHORT,611.35,629.6905,593.0095,574.669,EXPIRED,0.0153,36,1775083543315,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BULLISH,68186.1,1.155,-0.6988505881033673,0.1493580687135404,4.273011654868082,1.3054700102654306,0.0,bullish,3.000000000000003,3.000000000000003,3.000000000000003,6.000000000000006,0.3731829737305201,0.0,0.0,27.0,29.225522552255175,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.32%,yes,0.2830,1.4116,yes,good_for_manual
WIFUSDT-SHORT-1775081700000-2,WIFUSDT-SHORT-1775081700000-2,1775081700000,WIFUSDT,SHORT,0.1822,0.187666,0.176734,0.171268,WIN_TP1,1.0000,13,1775094358191,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,68108.9,-0.048,-0.05121522427573562,0.039066860140649244,2.5739661042830027,0.8568630531399066,0.0,neutral,2.999999999999999,2.999999999999999,2.999999999999999,5.999999999999998,0.32822757111596795,0.0,0.0,27.0,28.19890998014394,35.0,1h_top_tests=3;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.27%,yes,3.2931,0.4391,yes,good_for_manual
DRIFTUSDT-SHORT-1775088000000-1,DRIFTUSDT-SHORT-1775088000000-1,1775088000000,DRIFTUSDT,SHORT,0.04464,0.046649529999999995,0.042630470000000004,0.04062094000000001,WIN_TP1,1.0000,6,1775094359747,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,68180.0,0.317,0.1401158820030317,0.14452204181444805,2.571281900850698,0.3395329258938223,0.0,neutral,4.501635304659488,4.501635304659488,4.501635304659488,9.003270609318976,4.144298904874385,0.0,0.0,31.0,26.712978602498634,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.56%,no,5.0403,4.1891,yes,good_for_manual
ZROUSDT-SHORT-1775092500000-1,ZROUSDT-SHORT-1775092500000-1,1775092500000,ZROUSDT,SHORT,1.9284,1.986252,1.8705479999999999,1.8126959999999999,WIN_TP1,1.0000,10,1775102483956,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,67201.2,-1.052,-1.317735527600915,-2.0064143419903298,3.3136313042029055,2.3484394092511884,0.0,bearish,3.000000000000001,3.000000000000001,3.000000000000001,6.000000000000002,0.9705746418117464,0.051353155651409126,0.0,25.0,28.578672632363904,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.43%,yes,3.1581,1.0319,yes,good_for_manual
ZROUSDT-SHORT-1775092500000-1,ZROUSDT-SHORT-1775092500000-1,1775092500000,ZROUSDT,SHORT,1.9284,1.986252,1.8705479999999999,1.8126959999999999,WIN_TP1,1.0000,10,1775102484597,tp1 hit,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,BEARISH,67201.2,-1.052,-1.317735527600915,-2.0064143419903298,3.3136313042029055,2.3484394092511884,0.0,bearish,3.000000000000001,3.000000000000001,3.000000000000001,6.000000000000002,0.9705746418117464,0.051353155651409126,0.0,25.0,28.578672632363904,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;15m_clean_breakdown;15m_break_dist=0.43%,yes,3.1581,1.0319,yes,good_for_manual
ASTERUSDT-SHORT-1775080800000-1,ASTERUSDT-SHORT-1775080800000-1,1775080800000,ASTERUSDT,SHORT,0.6651,0.685053,0.645147,0.625194,EXPIRED,-0.3558,36,1775114194906,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,68148.8,0.101,0.007630921668584801,-0.2570080805330887,2.5724590895217605,0.8563588607316408,0.0,neutral,2.9999999999999996,2.9999999999999996,2.9999999999999996,5.999999999999999,0.23998800059996023,0.0,0.0,35.0,27.02358453505879,35.0,1h_top_tests=4;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.22%,yes,1.8193,1.1276,yes,good_for_manual
RAYSOLUSDT-SHORT-1775088000000-1,RAYSOLUSDT-SHORT-1775088000000-1,1775088000000,RAYSOLUSDT,SHORT,0.651,0.6705300000000001,0.63147,0.6119399999999999,EXPIRED,0.1690,36,1775124384724,max bars reached,phase3-short-exhaustion-v5-scoreparts-manualdiag,short_exhaustion_retest,RANGE,68180.0,0.317,0.1405564979841776,0.12469432266307445,2.571281900850698,0.3395314319573144,0.0,neutral,3.000000000000007,3.000000000000007,3.000000000000007,6.000000000000014,0.36730945821854266,0.045913682277313586,0.0,31.0,24.98375217855731,35.0,1h_top_tests=2;1h_failed_breakout;1h_no_accept_above_resistance;1h_weakening_push;15m_clean_breakdown;15m_break_dist=0.18%,yes,2.7803,2.0430,yes,good_for_manual
