case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
BSBUSDT-LONG-1774544100000,2026-03-27,BSBUSDT,LONG,long_breakout_retest,BSBUSDT-LONG-1774544100000,,1774544100000,1774544653227,0,0,1774544795916,1774559053227,2026-03-26 23:55:00,2026-03-27 00:04:13,,,2026-03-27 00:06:35,2026-03-27 04:04:13,0.17563,0.173,,,,,INVALIDATED,retest invalidated,0,,2.38,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/BSBUSDT-LONG-1774544100000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/BSBUSDT-LONG-1774544100000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/BSBUSDT-LONG-1774544100000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ARIAUSDT-SHORT-EXH-1774546200000,2026-03-27,ARIAUSDT,SHORT,short_exhaustion_retest,ARIAUSDT-SHORT-EXH-1774546200000,,1774546200000,1774547713619,0,0,1774548227598,1774562113619,2026-03-27 00:30:00,2026-03-27 00:55:13,,,2026-03-27 01:03:47,2026-03-27 04:55:13,0.26662,0.26825,,,,,INVALIDATED,retest invalidated,0,,8.57,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/ARIAUSDT-SHORT-EXH-1774546200000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/ARIAUSDT-SHORT-EXH-1774546200000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/ARIAUSDT-SHORT-EXH-1774546200000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
LTCUSDT-SHORT-EXH-1774547100000,2026-03-27,LTCUSDT,SHORT,short_exhaustion_retest,LTCUSDT-SHORT-EXH-1774547100000,,1774547100000,1774548079817,0,0,0,1774562479817,2026-03-27 00:45:00,2026-03-27 01:01:19,,,,2026-03-27 05:01:19,54.29,54.39,,,,,PENDING,,0,,,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/LTCUSDT-SHORT-EXH-1774547100000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/LTCUSDT-SHORT-EXH-1774547100000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/LTCUSDT-SHORT-EXH-1774547100000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FARTCOINUSDT-SHORT-EXH-1774547100000,2026-03-27,FARTCOINUSDT,SHORT,short_exhaustion_retest,FARTCOINUSDT-SHORT-EXH-1774547100000,,1774547100000,1774548086042,0,0,1774550897421,1774562486042,2026-03-27 00:45:00,2026-03-27 01:01:26,,,2026-03-27 01:48:17,2026-03-27 05:01:26,0.1735,0.1752,,,,,EXPIRED_WAIT,retest wait expired,0,,46.86,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FARTCOINUSDT-SHORT-EXH-1774547100000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FARTCOINUSDT-SHORT-EXH-1774547100000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FARTCOINUSDT-SHORT-EXH-1774547100000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
1000SHIBUSDT-SHORT-EXH-1774547100000,2026-03-27,1000SHIBUSDT,SHORT,short_exhaustion_retest,1000SHIBUSDT-SHORT-EXH-1774547100000,,1774547100000,1774548091759,0,0,0,1774562491759,2026-03-27 00:45:00,2026-03-27 01:01:31,,,,2026-03-27 05:01:31,0.005864,0.00588,,,,,PENDING,,0,,,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/1000SHIBUSDT-SHORT-EXH-1774547100000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/1000SHIBUSDT-SHORT-EXH-1774547100000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/1000SHIBUSDT-SHORT-EXH-1774547100000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
RENDERUSDT-SHORT-EXH-1774547100000,2026-03-27,RENDERUSDT,SHORT,short_exhaustion_retest,RENDERUSDT-SHORT-EXH-1774547100000,,1774547100000,1774548097447,0,0,0,1774562497447,2026-03-27 00:45:00,2026-03-27 01:01:37,,,,2026-03-27 05:01:37,1.742,1.746,,,,,PENDING,,0,,,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/RENDERUSDT-SHORT-EXH-1774547100000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/RENDERUSDT-SHORT-EXH-1774547100000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/RENDERUSDT-SHORT-EXH-1774547100000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
FILUSDT-SHORT-EXH-1774548000000,2026-03-27,FILUSDT,SHORT,short_exhaustion_retest,FILUSDT-SHORT-EXH-1774548000000,,1774548000000,1774549225075,0,0,1774551655959,1774563625075,2026-03-27 01:00:00,2026-03-27 01:20:25,,,2026-03-27 02:00:55,2026-03-27 05:20:25,0.873,0.877,,,,,EXPIRED_WAIT,retest wait expired,0,,40.51,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FILUSDT-SHORT-EXH-1774548000000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FILUSDT-SHORT-EXH-1774548000000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/FILUSDT-SHORT-EXH-1774548000000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
SOLUSDT-SHORT-EXH-1774548900000,2026-03-27,SOLUSDT,SHORT,short_exhaustion_retest,SOLUSDT-SHORT-EXH-1774548900000,,1774548900000,1774549971031,0,0,1774552797905,1774564371031,2026-03-27 01:15:00,2026-03-27 01:32:51,,,2026-03-27 02:19:57,2026-03-27 05:32:51,85.81,86.33,,,,,EXPIRED_WAIT,retest wait expired,0,,47.11,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SOLUSDT-SHORT-EXH-1774548900000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SOLUSDT-SHORT-EXH-1774548900000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SOLUSDT-SHORT-EXH-1774548900000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
SUPERUSDT-LONG-1774549500000,2026-03-27,SUPERUSDT,LONG,long_breakout_retest,SUPERUSDT-LONG-1774549500000,,1774549500000,1774549985175,0,0,1774550517162,1774564385175,2026-03-27 01:25:00,2026-03-27 01:33:05,,,2026-03-27 01:41:57,2026-03-27 05:33:05,0.1219,0.1211,,,,,INVALIDATED,acceptance_floor_lost 0.121000<0.121835,0,,8.87,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SUPERUSDT-LONG-1774549500000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SUPERUSDT-LONG-1774549500000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/SUPERUSDT-LONG-1774549500000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PUMPUSDT-SHORT-EXH-1774548900000,2026-03-27,PUMPUSDT,SHORT,short_exhaustion_retest,PUMPUSDT-SHORT-EXH-1774548900000,,1774548900000,1774549991843,0,0,1774551656852,1774564391843,2026-03-27 01:15:00,2026-03-27 01:33:11,,,2026-03-27 02:00:56,2026-03-27 05:33:11,0.001748,0.001751,,,,,INVALIDATED,retest invalidated,0,,27.75,,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/PUMPUSDT-SHORT-EXH-1774548900000/pre_pending.png,/root/binance_bot_signals/review_workspace/2026-03-27/cases/PUMPUSDT-SHORT-EXH-1774548900000/pending_open.png,,/root/binance_bot_signals/review_workspace/2026-03-27/cases/PUMPUSDT-SHORT-EXH-1774548900000/case_close.png,Y,Y,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
