case_id,case_day,symbol,side,strategy,setup_id,signal_id,signal_time_ms,created_time_ms,confirmed_time_ms,sent_time_ms,close_time_ms,fallback_close_due_ms,signal_time_local,created_time_local,confirmed_time_local,sent_time_local,close_time_local,fallback_close_due_local,signal_price,breakout_level,entry_price,stop_price,tp1_price,tp2_price,status_final,close_reason,bars_waited,time_to_confirm_min,time_to_close_min,outcome,r_multiple,pre_pending_image,pending_open_image,entry_or_confirm_image,case_close_image,has_pre_pending_image,has_pending_open_image,has_entry_or_confirm_image,has_case_close_image,case_bundle_complete,human_review_status,verdict_code,root_cause_code,action_candidate_code,confidence_code,review_notes_short
RIVERUSDT-SHORT-EXH-1773938700000,2026-03-20,RIVERUSDT,SHORT,short_exhaustion_retest,RIVERUSDT-SHORT-EXH-1773938700000,,1773938700000,1773939623775,0,0,0,1773954023775,2026-03-19 23:45:00,2026-03-20 00:00:23,,,,2026-03-20 04:00:23,24.854,24.902,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/RIVERUSDT-SHORT-EXH-1773938700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
PIPPINUSDT-SHORT-EXH-1773938700000,2026-03-20,PIPPINUSDT,SHORT,short_exhaustion_retest,PIPPINUSDT-SHORT-EXH-1773938700000,,1773938700000,1773939625628,0,0,0,1773954025628,2026-03-19 23:45:00,2026-03-20 00:00:25,,,,2026-03-20 04:00:25,0.10257,0.10282,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/PIPPINUSDT-SHORT-EXH-1773938700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
1000PEPEUSDT-SHORT-EXH-1773938700000,2026-03-20,1000PEPEUSDT,SHORT,short_exhaustion_retest,1000PEPEUSDT-SHORT-EXH-1773938700000,,1773938700000,1773939627304,0,0,0,1773954027304,2026-03-19 23:45:00,2026-03-20 00:00:27,,,,2026-03-20 04:00:27,0.0033402,0.0033458,,,,,CONFIRMED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/1000PEPEUSDT-SHORT-EXH-1773938700000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BANUSDT-LONG-1773939600000,2026-03-20,BANUSDT,LONG,legacy_5m_retest,BANUSDT-LONG-1773939600000,,1773939600000,1773940111265,0,0,0,1773954511265,2026-03-20 00:00:00,2026-03-20 00:08:31,,,,2026-03-20 04:08:31,0.05305,0.0528,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/BANUSDT-LONG-1773939600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ADAUSDT-SHORT-EXH-1773939600000,2026-03-20,ADAUSDT,SHORT,short_exhaustion_retest,ADAUSDT-SHORT-EXH-1773939600000,,1773939600000,1773940581664,0,0,0,1773954981664,2026-03-20 00:00:00,2026-03-20 00:16:21,,,,2026-03-20 04:16:21,0.2627,0.2631,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/ADAUSDT-SHORT-EXH-1773939600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
ROBOUSDT-SHORT-EXH-1773939600000,2026-03-20,ROBOUSDT,SHORT,short_exhaustion_retest,ROBOUSDT-SHORT-EXH-1773939600000,,1773939600000,1773940600822,0,0,0,1773955000822,2026-03-20 00:00:00,2026-03-20 00:16:40,,,,2026-03-20 04:16:40,0.02517,0.02532,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/ROBOUSDT-SHORT-EXH-1773939600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
TAOUSDT-LONG-1773942600000,2026-03-20,TAOUSDT,LONG,legacy_5m_retest,TAOUSDT-LONG-1773942600000,,1773942600000,1773942961318,0,0,0,1773957361318,2026-03-20 00:50:00,2026-03-20 00:56:01,,,,2026-03-20 04:56:01,250.97,248.5,,,,,INVALIDATED,,8,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/TAOUSDT-LONG-1773942600000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BANUSDT-LONG-1773942900000,2026-03-20,BANUSDT,LONG,legacy_5m_retest,BANUSDT-LONG-1773942900000,,1773942900000,1773943284271,0,0,0,1773957684271,2026-03-20 00:55:00,2026-03-20 01:01:24,,,,2026-03-20 05:01:24,0.05601,0.05497,,,,,INVALIDATED,,2,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/BANUSDT-LONG-1773942900000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
XANUSDT-LONG-1773943500000,2026-03-20,XANUSDT,LONG,legacy_5m_retest,XANUSDT-LONG-1773943500000,,1773943500000,1773944069740,0,0,0,1773958469740,2026-03-20 01:05:00,2026-03-20 01:14:29,,,,2026-03-20 05:14:29,0.014011,0.013876,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/XANUSDT-LONG-1773943500000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
BANUSDT-LONG-1773945000000,2026-03-20,BANUSDT,LONG,legacy_5m_retest,BANUSDT-LONG-1773945000000,,1773945000000,1773945337599,0,0,0,1773959737599,2026-03-20 01:30:00,2026-03-20 01:35:37,,,,2026-03-20 05:35:37,0.05896,0.05819,,,,,INVALIDATED,,1,,,,,,,,/root/binance_bot_signals/review_workspace/2026-03-20/cases/BANUSDT-LONG-1773945000000/case_close.png,N,N,N,Y,N,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNREVIEWED,UNSET,
