2026-03-27T10:46:55.112323+00:00,1774608415112,2026-03-20,SIMCASE-SIMSHORTUSDT-SHORT-649770,SIMSHORTUSDT,SHORT,short_exhaustion_retest,capture_stage_start,ok,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close"", ""ts_ms"": 1773985649771}"
2026-03-27T10:46:55.322587+00:00,1774608415322,2026-03-20,SIMCASE-SIMSHORTUSDT-SHORT-649770,SIMSHORTUSDT,SHORT,short_exhaustion_retest,snapshot_saved,no_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close"", ""ts_ms"": 1773985649771}"
2026-03-27T10:46:55.323780+00:00,1774608415323,,SIMCASE-SIMSHORTUSDT-SHORT-649770,,,,register_stage,registered_without_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close""}"
2026-03-27T10:46:55.324892+00:00,1774608415324,2026-03-20,SIMCASE-SIMSHORTUSDT-SHORT-1773987419187,SIMSHORTUSDT,SHORT,short_exhaustion_retest,capture_stage_start,ok,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close"", ""ts_ms"": 1773987419581}"
2026-03-27T10:46:55.400329+00:00,1774608415400,2026-03-20,SIMCASE-SIMSHORTUSDT-SHORT-1773987419187,SIMSHORTUSDT,SHORT,short_exhaustion_retest,snapshot_saved,no_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close"", ""ts_ms"": 1773987419581}"
2026-03-27T10:46:55.400887+00:00,1774608415400,,SIMCASE-SIMSHORTUSDT-SHORT-1773987419187,,,,register_stage,registered_without_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_short_tp1"", ""stage"": ""case_close""}"
2026-03-27T10:46:55.401269+00:00,1774608415401,2026-03-20,SIMCASE-SIMLONGUSDT-LONG-1773987446309,SIMLONGUSDT,LONG,long_breakout_retest,capture_stage_start,ok,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""note"": ""simulated_confirmed_long_tp2"", ""stage"": ""case_close"", ""ts_ms"": 1773987446697}"
2026-03-27T10:46:55.612585+00:00,1774608415612,2026-03-20,SIMCASE-SIMLONGUSDT-LONG-1773987446309,SIMLONGUSDT,LONG,long_breakout_retest,snapshot_saved,no_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_long_tp2"", ""stage"": ""case_close"", ""ts_ms"": 1773987446697}"
2026-03-27T10:46:55.613601+00:00,1774608415613,,SIMCASE-SIMLONGUSDT-LONG-1773987446309,,,,register_stage,registered_without_image,stage=case_close,Y,/root/binance_bot_signals/review_workspace,"{""image_path"": """", ""note"": ""simulated_confirmed_long_tp2"", ""stage"": ""case_close""}"
2026-03-27T10:47:06.747175+00:00,1774608426747,2026-03-27,SUIUSDT-SHORT-EXH-1774607400000,SUIUSDT,SHORT,short_exhaustion_retest,save_pending_csv,ok,pending_row_appended,Y,/root/binance_bot_signals/review_workspace,"{""pending_path"": ""/root/binance_bot_signals/pending_setups.csv""}"
